domino,risk_log2,risk_p,ev_log2,ev_p
6-5,2.0874628412503395,0.02848588714004457,-0.8783214434117476,0.4319427847352325
3-1,1.115477217419936,0.503672169053375,-0.6235075443829221,0.7640345989799552
6-0,1.078002512001273,0.24618410751073813,-1.5563933485243853,0.0165191319057265
4-2,0.7884958948062882,0.503672169053375,-1.0418201756946268,0.2132717718060647
6-3,0.7776075786635518,0.9577615040342224,-0.2344652536370227,0.9452529974278426
4-1,0.7369655941662062,0.8449832911367422,-0.5119992291659318,0.7269025523979082
2-2,0.415037499278844,1.0,0.5590838688955507,0.7269025523979082
5-2,0.41503749927884376,1.0,0.3764924556170779,0.8169223523966523
6-4,0.2630344058337938,1.0,0.0285691521967709,1.0
4-3,0.22239242133644802,1.0,0.6659990728120626,0.6182448550295906
5-4,0.20645087746742624,1.0,-0.3124677656382961,0.8228194383359082
6-1,0.11547721741993618,1.0,-0.2933589426905914,0.9452529974278426
5-3,0.10691520391651217,1.0,-0.4409161311044492,0.7269025523979082
0-0,0.0,1.0,0.1805722456418208,0.9452529974278426
5-1,0.0,1.0,-0.3864683470820729,0.8895900627991361
3-2,0.0,1.0,-0.8783214434117476,0.4319427847352325
4-4,-0.08746284125033943,1.0,1.3504972470841334,0.0729778696804597
6-6,-0.09953567355091422,1.0,1.0285691521967708,0.2859197660575879
1-1,-0.13750352374993477,1.0,0.0285691521967709,1.0
1-0,-0.20645087746742632,1.0,0.0285691521967709,1.0
6-2,-0.24100809950379493,1.0,-0.9714308478032294,0.2859197660575879
4-0,-0.4150374992788438,1.0,0.0285691521967709,1.0
3-3,-0.4594316186372972,1.0,1.2509615735332191,0.2712506478859216
5-0,-0.4854268271702417,1.0,0.9354597478052892,0.353833564071053
3-0,-0.6374299206152919,0.9577615040342224,-0.2709911296621369,0.8895900627991361
2-1,-1.15200309344505,0.18623641110516057,0.2212142301391667,0.8895900627991361
5-5,-1.3219280948873622,0.02848588714004457,1.502500340529183,0.0165191319057265
2-0,-1.652076696579693,0.02848588714004457,0.5310694927259542,0.6467253860534762
