domino,d_id,high_with,low_with,freq_high,freq_low,odds_ratio,log2_enrichment,p_value,p_adjusted,significant,neg_log10_p
6-5,26,17,4,0.34,0.08,5.924242424242424,2.0874628412503395,0.002606834883637818,0.02848588714004457,True,2.583886476079826
3-1,7,13,6,0.26,0.12,2.5765765765765765,1.115477217419936,0.12473659204240485,0.503672169053375,False,0.9040061255838806
6-0,21,19,9,0.38,0.18,2.792114695340502,1.078002512001273,0.04396144776977467,0.24618410751073813,False,1.3569280135171837
4-2,12,19,11,0.38,0.22,2.1730205278592374,0.7884958948062882,0.12591804226334374,0.503672169053375,False,0.8999120372152869
6-3,24,12,7,0.24,0.14,1.9398496240601504,0.7776075786635518,0.30798862752943323,0.9577615040342224,False,0.5114653195138346
4-1,11,15,9,0.3,0.18,1.9523809523809523,0.7369655941662062,0.24142379746764062,0.8449832911367422,False,0.6172199231388764
2-2,5,16,12,0.32,0.24,1.4901960784313726,0.415037499278844,0.5044793178335231,1.0,False,0.2971566338569876
5-2,17,12,9,0.24,0.18,1.4385964912280702,0.41503749927884376,0.624154948014769,1.0,False,0.2047075822498369
6-4,25,12,10,0.24,0.2,1.263157894736842,0.2630344058337938,0.8096987078555788,1.0,False,0.0916765537850037
4-3,13,14,12,0.28,0.24,1.2314814814814814,0.22239242133644802,0.819996396824433,1.0,False,0.08618805596104442
5-4,19,15,13,0.3,0.26,1.2197802197802199,0.20645087746742624,0.8240473585397348,1.0,False,0.08404782839821048
6-1,22,13,12,0.26,0.24,1.1126126126126126,0.11547721741993618,1.0,1.0,False,-0.0
5-3,18,14,13,0.28,0.26,1.106837606837607,0.10691520391651217,1.0,1.0,False,-0.0
0-0,0,7,7,0.14,0.14,1.0,0.0,1.0,1.0,False,-0.0
5-1,16,9,9,0.18,0.18,1.0,0.0,1.0,1.0,False,-0.0
3-2,8,14,14,0.28,0.28,1.0,0.0,1.0,1.0,False,-0.0
4-4,14,16,17,0.32,0.34,0.9134948096885813,-0.08746284125033943,1.0,1.0,False,-0.0
6-6,27,14,15,0.28,0.3,0.9074074074074074,-0.09953567355091422,1.0,1.0,False,-0.0
1-1,2,10,11,0.2,0.22,0.8863636363636364,-0.13750352374993477,1.0,1.0,False,-0.0
1-0,1,13,15,0.26,0.3,0.8198198198198198,-0.20645087746742632,0.8240473585397348,1.0,False,0.08404782839821048
6-2,23,11,13,0.22,0.26,0.8027613412228797,-0.24100809950379493,0.8152594598987601,1.0,False,0.08870415313777369
4-0,10,12,16,0.24,0.32,0.6710526315789473,-0.4150374992788438,0.5044793178335231,1.0,False,0.2971566338569876
3-3,9,8,11,0.16,0.22,0.6753246753246753,-0.4594316186372972,0.6110593016041339,1.0,False,0.21391664064171992
5-0,15,10,14,0.2,0.28,0.6428571428571429,-0.4854268271702417,0.48294511557463715,1.0,False,0.31610222195542503
3-0,6,9,14,0.18,0.28,0.5644599303135889,-0.6374299206152919,0.3420576800122223,0.9577615040342224,False,0.46590065418115023
2-1,4,9,20,0.18,0.4,0.32926829268292684,-1.15200309344505,0.026605201586451507,0.18623641110516057,False,1.5750334460964532
5-5,20,10,25,0.2,0.5,0.25,-1.3219280948873622,0.0030520593364333467,0.02848588714004457,True,2.515407027324274
2-0,3,7,22,0.14,0.44,0.20718816067653276,-1.652076696579693,0.0017518173056232241,0.02848588714004457,True,2.7565111877209367
