domino,d_id,global_freq,cluster_0_freq,cluster_1_freq
0-0,0,0.215,0.17647058823529413,0.22289156626506024
1-0,1,0.235,0.11764705882352941,0.25903614457831325
1-1,2,0.235,0.29411764705882354,0.22289156626506024
2-0,3,0.285,0.35294117647058826,0.2710843373493976
2-1,4,0.255,0.17647058823529413,0.2710843373493976
2-2,5,0.245,0.29411764705882354,0.23493975903614459
3-0,6,0.26,0.29411764705882354,0.25301204819277107
3-1,7,0.215,0.17647058823529413,0.22289156626506024
3-2,8,0.255,0.29411764705882354,0.2469879518072289
3-3,9,0.21,0.23529411764705882,0.20481927710843373
4-0,10,0.265,0.35294117647058826,0.2469879518072289
4-1,11,0.275,0.23529411764705882,0.28313253012048195
4-2,12,0.285,0.11764705882352941,0.3192771084337349
4-3,13,0.255,0.2647058823529412,0.25301204819277107
4-4,14,0.27,0.35294117647058826,0.25301204819277107
5-0,15,0.21,0.17647058823529413,0.21686746987951808
5-1,16,0.23,0.4117647058823529,0.1927710843373494
5-2,17,0.225,0.3235294117647059,0.20481927710843373
5-3,18,0.24,0.17647058823529413,0.25301204819277107
5-4,19,0.27,0.20588235294117646,0.28313253012048195
5-5,20,0.325,0.47058823529411764,0.29518072289156627
6-0,21,0.285,0.20588235294117646,0.30120481927710846
6-1,22,0.23,0.17647058823529413,0.24096385542168675
6-2,23,0.27,0.20588235294117646,0.28313253012048195
6-3,24,0.24,0.11764705882352941,0.26506024096385544
6-4,25,0.225,0.23529411764705882,0.22289156626506024
6-5,26,0.26,0.17647058823529413,0.27710843373493976
6-6,27,0.23,0.38235294117647056,0.19879518072289157
