feature,posterior_mean,hdi_2.5%,hdi_97.5%,significant
n_doubles,5.375520525030553,2.249146004936923,8.454043107294803,True
has_trump_double,3.0915410512255677,-2.8295819614723245,9.021935625533033,False
trump_count,3.0095253065210033,1.2598591417161558,4.764147993600438,True
n_voids,2.99388661437251,-2.7539281680373415,8.398593797596908,False
count_points,0.2217189686123345,-0.09183794350729653,0.5499627898827609,False
total_pips,0.10265752441895586,-0.3596133465505369,0.5302365093147663,False
n_singletons,-0.15071576363546937,-3.3971330985297468,3.2465671992076883,False
n_5_high,-0.4703479320512403,-3.1865870206982194,2.1393283634158853,False
max_suit_length,-0.8799265026505533,-5.187454212120882,3.6526370263811323,False
n_6_high,-1.5172020465747171,-4.644040711191773,1.4219981603713105,False
