depth,n_states,v_mean,v_std,v_min,v_max,v_range,v_iqr,v_p10,v_p90,delta_std,delta_range
25,1,-6.0,0.0,-6,-6,0,0.0,-6.0,-6.0,,
24,1,36.0,0.0,36,36,0,0.0,36.0,36.0,0.0,0.0
23,5,11.6,22.294393914165955,-22,41,63,27.0,-15.2,33.400000000000006,22.294393914165955,63.0
22,25,17.76,18.02726823453848,-27,41,68,27.0,-2.9999999999999982,36.0,-4.267125679627476,5.0
21,67,12.17910447761194,20.499672638911026,-34,41,75,30.0,-17.799999999999997,37.99999999999999,2.472404404372547,7.0
20,77,3.3766233766233764,20.53191305099161,-40,40,80,31.0,-25.4,31.200000000000017,0.032240412080582814,5.0
19,485,8.529896907216495,20.525006950026846,-40,40,80,33.0,-21.0,35.0,-0.006906100964762629,0.0
18,1245,4.934136546184739,20.824849984210914,-40,40,80,34.0,-25.0,33.0,0.2998430341840681,0.0
17,2944,5.220788043478261,19.93721878440542,-40,40,80,32.0,-23.0,30.0,-0.8876311998054938,0.0
16,2255,5.7317073170731705,16.652742367217673,-39,39,78,26.0,-17.0,27.0,-3.284476417187747,-2.0
15,8982,5.034958806501892,17.360824965413087,-39,39,78,27.0,-19.0,27.0,0.7080825981954142,0.0
14,20861,3.8247447389866256,17.07650943480692,-39,39,78,27.0,-19.0,27.0,-0.2843155306061682,0.0
13,49781,3.7791526887768425,16.87222758655051,-39,39,78,27.0,-19.0,25.0,-0.20428184825641083,0.0
12,12657,5.550525400963894,13.816635568222383,-38,38,76,20.0,-13.0,23.0,-3.0555920183281255,-2.0
11,37847,5.164927206912041,14.089791399872798,-38,38,76,22.0,-14.0,23.0,0.27315583165041524,0.0
10,78328,4.653865795117966,14.002967794557833,-38,38,76,22.0,-16.0,23.0,-0.08682360531496514,0.0
9,164099,4.2362232554738295,13.947054835577806,-38,38,76,22.0,-16.0,23.0,-0.05591295898002713,0.0
8,10118,4.895137378928642,10.970641970730558,-32,37,69,14.0,-10.0,17.0,-2.976412864847248,-7.0
7,20033,4.708880347426746,11.069130146478544,-32,37,69,14.0,-12.0,17.0,0.09848817574798652,0.0
6,33102,4.530330493625763,11.096245785808511,-37,37,74,14.0,-12.0,17.0,0.027115639329966967,5.0
5,55627,4.087637298434213,11.189378080181234,-32,37,69,17.0,-12.0,17.0,0.09313229437272241,-5.0
4,378,2.6507936507936507,7.920221384375933,-26,26,52,7.0,-6.0,11.0,-3.269156695805301,-17.0
3,348,1.3448275862068966,7.373184695671226,-21,21,42,7.0,-6.0,11.0,-0.5470366887047069,-10.0
2,367,1.4059945504087195,7.518642916997841,-21,26,47,7.0,-7.999999999999993,11.0,0.14545822132661534,5.0
1,367,1.9482288828337875,8.006131224887554,-21,21,42,7.0,-11.0,11.0,0.48748830788971276,-5.0
