depth,v_std,v_range,phase,v_std_diff
25,0.0,0,deterministic,
24,0.0,0,deterministic,0.0
23,22.294393914165955,63,chaotic,22.294393914165955
22,18.02726823453848,68,chaotic,4.267125679627476
21,20.499672638911026,75,chaotic,2.472404404372547
20,20.53191305099161,80,chaotic,0.032240412080582814
19,20.52500695002685,80,chaotic,0.0069061009647590765
18,20.824849984210918,80,chaotic,0.2998430341840681
17,19.93721878440542,80,chaotic,0.8876311998054973
16,16.652742367217673,78,chaotic,3.284476417187747
15,17.360824965413087,78,chaotic,0.7080825981954142
14,17.07650943480692,78,chaotic,0.2843155306061682
13,16.87222758655051,78,chaotic,0.20428184825641083
12,13.816635568222384,76,transition,3.0555920183281238
11,14.089791399872798,76,transition,0.27315583165041346
10,14.002967794557833,76,transition,0.08682360531496514
9,13.947054835577806,76,transition,0.05591295898002713
8,10.970641970730558,69,transition,2.976412864847248
7,11.069130146478544,69,transition,0.09848817574798652
6,11.096245785808511,74,transition,0.027115639329966967
5,11.189378080181234,69,transition,0.09313229437272241
4,7.920221384375933,52,deterministic,3.269156695805301
3,7.373184695671226,42,deterministic,0.5470366887047069
2,7.518642916997841,47,deterministic,0.14545822132661534
1,8.006131224887554,42,deterministic,0.48748830788971276
