seed,V_mean,V_std,alpha_diversity,evenness,n_suits,max_suit_count,trump_count,n_doubles
0,41.333333333333336,0.9428090415820634,2.3248629576173565,0.8281328945445156,6,4,4,3.0
1,14.0,20.396078054371134,2.502736171594004,0.8914926117570005,6,3,3,1.0
2,14.0,20.396078054371134,2.3248629576173565,0.8281328945445156,6,4,3,2.0
3,17.333333333333332,20.41785710815141,2.5566567074628237,0.9106994941661899,6,3,2,1.0
4,-4.0,17.962924780409974,2.699513850319966,0.9615862351816215,7,3,3,2.0
5,5.333333333333333,17.98765008430939,2.413799564605681,0.8598127531507582,6,4,0,3.0
6,5.333333333333333,27.776888874666213,2.4137995646056796,0.8598127531507578,6,4,2,3.0
7,21.33333333333333,26.398653164297773,2.4677201004744993,0.8790196355599472,6,4,0,3.0
8,5.333333333333333,14.636332266733431,2.4137995646056805,0.8598127531507581,6,4,0,3.0
9,11.333333333333334,23.170862929310356,2.664497779200462,0.9491132589845684,7,4,0,0.0
10,-2.6666666666666665,12.472191289246473,2.5027361715940035,0.8914926117570003,6,3,1,1.0
11,-15.333333333333334,26.04269997949948,2.610577243331642,0.929906376575379,7,4,1,1.0
12,40.0,2.8284271247461903,2.5566567074628233,0.9106994941661898,7,4,4,2.0
13,36.66666666666666,4.714045207910317,2.6105772433316425,0.9299063765753791,7,4,1,2.0
14,6.666666666666667,2.494438257849294,2.6455933144511468,0.9423793527724321,7,3,3,1.0
15,28.666666666666668,8.993825042154695,2.3787834934861762,0.847339776953705,6,4,4,3.0
16,8.666666666666666,19.48218559493661,2.7534343861887853,0.9807931175908108,7,3,2,1.0
17,18.666666666666668,0.9428090415820634,2.502736171594004,0.8914926117570005,6,3,0,3.0
18,11.333333333333334,8.993825042154695,2.502736171594004,0.8914926117570005,6,3,0,1.0
19,22.0,13.36662510384228,2.41379956460568,0.8598127531507579,6,4,0,3.0
20,16.0,24.711670657134185,2.4488156357251847,0.8722857293478111,6,3,0,1.0
21,34.666666666666664,6.182412330330469,2.35274578087187,0.8380649565846359,6,5,2,1.0
22,11.333333333333334,23.17086292931036,2.4677201004744997,0.8790196355599474,6,4,3,1.0
23,10.666666666666666,37.24990678586398,2.1820058147602137,0.7772461535290838,5,4,0,2.0
24,15.333333333333334,26.04269997949948,2.155968102145908,0.7679713331600149,5,5,1,1.0
25,4.666666666666667,28.15828277592384,2.2638091738835464,0.8063850979783935,6,5,1,2.0
26,1.3333333333333333,27.438820836342234,2.41379956460568,0.8598127531507579,6,4,2,2.0
27,4.0,21.22891110412088,2.4066663167406896,0.8572718389938254,6,5,0,2.0
28,21.33333333333333,19.75404318670541,2.6995138503199656,0.9615862351816213,7,3,0,1.0
29,11.333333333333334,6.182412330330469,2.5566567074628237,0.9106994941661899,6,3,0,1.0
30,28.666666666666668,17.46106780494506,2.6995138503199656,0.9615862351816213,7,3,3,1.0
31,-3.333333333333333,33.6386021641143,2.298825245003051,0.8188580741754468,6,5,0,3.0
32,-7.333333333333333,28.58126814696802,2.41379956460568,0.8598127531507579,6,4,1,0.0
33,24.0,12.96148139681572,2.305958492868042,0.8213989883323795,5,3,0,4.0
34,33.333333333333336,10.873004286866726,2.41379956460568,0.8598127531507579,6,4,3,3.0
35,8.0,21.22891110412088,2.6105772433316425,0.9299063765753791,7,4,1,2.0
36,-8.666666666666666,23.90722810272148,2.5027361715940044,0.8914926117570006,6,3,3,0.0
37,-1.3333333333333333,4.714045207910317,2.664497779200462,0.9491132589845684,7,4,0,1.0
38,-20.666666666666668,19.48218559493661,2.610577243331642,0.929906376575379,7,4,0,1.0
39,33.333333333333336,12.256517540566824,2.6455933144511468,0.9423793527724321,7,3,0,4.0
40,-23.33333333333333,22.17105219775452,2.645593314451147,0.9423793527724323,7,3,1,1.0
41,-20.666666666666668,18.354533197248276,2.6105772433316425,0.9299063765753791,7,4,1,1.0
42,19.33333333333333,18.785337071473823,2.6995138503199665,0.9615862351816217,7,3,2,2.0
43,7.333333333333333,23.79542439676633,2.610577243331642,0.929906376575379,7,4,2,2.0
44,31.33333333333333,15.084944665313014,2.120952031026403,0.7554983569629616,5,5,5,2.0
45,8.666666666666666,25.5255862921022,2.664497779200462,0.9491132589845684,7,4,2,2.0
46,8.666666666666666,5.2493385826745405,2.35274578087187,0.8380649565846359,6,5,1,2.0
47,25.33333333333333,20.741798914805397,2.1820058147602137,0.7772461535290838,5,4,0,2.0
48,8.0,12.96148139681572,2.4137995646056805,0.8598127531507581,6,4,0,3.0
49,26.666666666666668,21.684607956387456,2.521640636343319,0.8982265179691368,7,4,0,2.0
50,30.0,15.57776192739723,2.6105772433316425,0.9299063765753791,7,4,3,2.0
51,17.333333333333332,17.15290710702481,2.7534343861887858,0.980793117590811,7,3,2,1.0
52,32.666666666666664,13.199326582148888,2.6105772433316425,0.9299063765753791,7,4,2,3.0
53,6.666666666666667,23.79542439676633,2.5216406363433186,0.8982265179691366,7,4,4,1.0
54,-20.0,5.656854249492381,2.6105772433316425,0.9299063765753791,7,4,2,2.0
55,32.666666666666664,10.49867716534908,2.4677201004744993,0.8790196355599472,6,4,4,1.0
56,-7.333333333333333,26.14489540150344,2.6105772433316425,0.9299063765753791,7,4,1,1.0
57,29.33333333333333,16.519348924485154,2.4066663167406888,0.8572718389938251,6,5,0,2.0
58,-10.0,18.83259585576738,2.270942421748537,0.8089260121353262,5,4,0,2.0
59,32.666666666666664,6.79869268479038,2.41379956460568,0.8598127531507579,6,4,0,1.0
60,18.0,15.57776192739723,2.41379956460568,0.8598127531507579,6,4,1,0.0
61,14.666666666666666,28.110891523077356,2.6105772433316425,0.9299063765753791,7,4,2,1.0
62,34.0,5.656854249492381,2.4677201004744997,0.8790196355599474,6,4,4,2.0
63,11.333333333333334,23.79542439676633,2.4677201004744993,0.8790196355599472,6,4,2,2.0
64,-28.0,1.632993161855452,2.502736171594004,0.8914926117570005,6,3,1,3.0
65,37.333333333333336,6.599663291074444,2.664497779200462,0.9491132589845684,7,4,4,3.0
66,2.6666666666666665,14.079141387961918,2.413799564605681,0.8598127531507582,6,4,3,1.0
67,23.33333333333333,10.370899457402697,2.4677201004744993,0.8790196355599472,6,4,0,2.0
68,9.333333333333334,9.568466729604882,2.645593314451147,0.9423793527724323,7,3,0,1.0
69,40.0,1.632993161855452,2.7534343861887844,0.9807931175908106,7,3,0,3.0
70,-4.666666666666667,15.084944665313014,2.2638091738835464,0.8063850979783935,6,5,2,3.0
71,9.333333333333334,23.11324776447962,2.6995138503199665,0.9615862351816217,7,3,1,1.0
72,16.666666666666668,33.038697848970315,2.467720100474499,0.8790196355599471,6,4,2,1.0
73,1.3333333333333333,23.90722810272148,2.3248629576173565,0.8281328945445156,6,4,1,2.0
74,-29.33333333333333,9.843215373488936,2.6455933144511468,0.9423793527724321,7,3,1,0.0
75,18.0,16.97056274847714,2.6455933144511468,0.9423793527724321,7,3,3,2.0
76,16.666666666666668,13.299958228840003,2.6105772433316425,0.9299063765753791,7,4,4,2.0
77,36.0,5.887840577551898,2.4677201004744997,0.8790196355599474,6,4,0,4.0
78,6.666666666666667,14.267289706021796,2.521640636343319,0.8982265179691368,7,4,0,2.0
79,10.666666666666666,5.2493385826745405,2.6995138503199665,0.9615862351816217,7,3,0,1.0
80,39.333333333333336,0.9428090415820634,2.502736171594004,0.8914926117570005,6,3,2,2.0
81,13.333333333333334,20.67741655902776,2.2709424217485377,0.8089260121353263,6,6,2,2.0
82,33.333333333333336,10.873004286866726,2.5566567074628233,0.9106994941661898,7,4,3,2.0
83,-14.666666666666666,23.79542439676633,2.6995138503199665,0.9615862351816217,7,3,1,0.0
84,22.0,2.8284271247461903,2.6455933144511468,0.9423793527724321,7,3,2,2.0
85,-10.0,23.03620339089466,2.41379956460568,0.8598127531507579,6,4,0,3.0
86,0.6666666666666666,31.93048003954146,2.6995138503199665,0.9615862351816217,7,3,1,1.0
87,3.333333333333333,31.084115271666047,2.467720100474499,0.8790196355599471,6,4,0,4.0
88,2.6666666666666665,0.9428090415820634,2.6105772433316425,0.9299063765753791,7,4,0,0.0
89,27.33333333333333,16.67999467092907,2.6105772433316425,0.9299063765753791,7,4,0,1.0
90,-20.666666666666668,12.684198393626966,2.610577243331642,0.929906376575379,7,4,2,0.0
91,20.666666666666668,18.354533197248276,2.6995138503199656,0.9615862351816213,7,3,3,2.0
92,-8.666666666666666,28.5345794120436,2.610577243331642,0.929906376575379,7,4,1,1.0
93,8.0,4.320493798938574,2.4677201004744993,0.8790196355599472,6,4,2,1.0
94,-0.6666666666666666,30.5650490302604,2.5495234595978324,0.9081585800092571,7,5,1,2.0
95,-10.0,33.0252428706689,2.495602923729013,0.8889516976000678,7,5,1,2.0
96,34.666666666666664,10.370899457402697,2.155968102145908,0.7679713331600149,5,5,5,3.0
97,38.66666666666666,0.9428090415820634,2.3787834934861753,0.8473397769537047,6,4,0,4.0
98,7.333333333333333,16.519348924485154,2.41379956460568,0.8598127531507579,6,4,0,0.0
99,9.333333333333334,13.59738536958076,2.235926350629033,0.7964530359382731,5,4,0,2.0
100,22.666666666666668,14.817407180595248,2.6644977792004623,0.9491132589845686,7,4,4,0.0
101,18.0,16.97056274847714,2.5566567074628237,0.9106994941661899,6,3,0,2.0
102,32.666666666666664,6.79869268479038,2.1559681021459074,0.7679713331600146,5,5,1,4.0
103,34.666666666666664,10.370899457402697,2.263809173883546,0.8063850979783933,6,5,4,1.0
104,22.0,14.966629547095764,2.41379956460568,0.8598127531507579,6,4,2,2.0
105,18.0,5.656854249492381,2.5566567074628237,0.9106994941661899,6,3,2,2.0
