domino1,domino2,d1_pips,d2_pips,winner_count,loser_count,total_count,enrichment
0,1,0-0,1-0,2,0,7,10.0
25,27,6-4,6-6,2,0,7,10.0
0,27,0-0,6-6,3,0,8,10.0
1,5,1-0,2-2,3,0,9,10.0
1,10,1-0,4-0,3,0,9,10.0
20,22,5-5,6-1,7,0,14,10.0
15,27,5-0,6-6,6,0,10,10.0
16,25,5-1,6-4,1,0,8,10.0
3,25,2-0,6-4,1,0,9,10.0
9,24,3-3,6-3,2,0,7,10.0
9,22,3-3,6-1,3,0,11,10.0
9,19,3-3,5-4,6,0,9,10.0
9,17,3-3,5-2,4,0,10,10.0
13,23,4-3,6-2,1,0,8,10.0
13,25,4-3,6-4,3,0,10,10.0
14,20,4-4,5-5,8,0,13,10.0
1,22,1-0,6-1,1,0,7,10.0
15,16,5-0,5-1,4,0,6,10.0
5,7,2-2,3-1,3,0,9,10.0
7,15,3-1,5-0,1,0,6,10.0
0,15,0-0,5-0,4,0,11,10.0
24,27,6-3,6-6,5,0,7,10.0
6,25,3-0,6-4,4,0,10,10.0
7,13,3-1,4-3,2,0,7,10.0
10,14,4-0,4-4,9,1,16,9.18
9,20,3-3,5-5,9,1,17,9.18
3,14,2-0,4-4,8,1,17,8.16
15,20,5-0,5-5,8,1,15,8.16
12,20,4-2,5-5,7,1,13,7.140000000000001
17,20,5-2,5-5,7,1,14,7.140000000000001
4,9,2-1,3-3,7,1,12,7.140000000000001
14,15,4-4,5-0,6,1,10,6.12
5,14,2-2,4-4,6,1,15,6.12
4,14,2-1,4-4,6,1,13,6.12
2,9,1-1,3-3,6,1,12,6.12
20,27,5-5,6-6,10,2,16,5.1000000000000005
9,15,3-3,5-0,5,1,9,5.1000000000000005
13,14,4-3,4-4,5,1,13,5.1000000000000005
20,24,5-5,6-3,5,1,15,5.1000000000000005
5,11,2-2,4-1,4,1,12,4.08
3,9,2-0,3-3,4,1,13,4.08
3,13,2-0,4-3,4,1,12,4.08
3,20,2-0,5-5,8,2,19,4.08
13,18,4-3,5-3,4,1,10,4.08
14,25,4-4,6-4,4,1,10,4.08
14,17,4-4,5-2,4,1,8,4.08
1,27,1-0,6-6,4,1,9,4.08
10,27,4-0,6-6,4,1,14,4.08
9,27,3-3,6-6,4,1,6,4.08
10,20,4-0,5-5,4,1,13,4.08
2,20,1-1,5-5,8,2,15,4.08
1,20,1-0,5-5,7,2,17,3.5700000000000003
14,19,4-4,5-4,7,2,17,3.5700000000000003
16,22,5-1,6-1,3,1,8,3.06
17,24,5-2,6-3,3,1,8,3.06
0,3,0-0,2-0,3,1,8,3.06
26,27,6-5,6-6,3,1,9,3.06
17,27,5-2,6-6,3,1,8,3.06
15,21,5-0,6-0,3,1,10,3.06
15,26,5-0,6-5,3,1,7,3.06
11,14,4-1,4-4,6,2,14,3.06
11,15,4-1,5-0,3,1,9,3.06
13,24,4-3,6-3,3,1,9,3.06
14,22,4-4,6-1,3,1,10,3.06
13,16,4-3,5-1,3,1,10,3.06
10,18,4-0,5-3,3,1,6,3.06
9,25,3-3,6-4,3,1,8,3.06
4,15,2-1,5-0,6,2,10,3.06
5,6,2-2,3-0,3,1,13,3.06
4,25,2-1,6-4,3,1,10,3.06
5,21,2-2,6-0,3,1,8,3.06
9,14,3-3,4-4,3,1,9,3.06
8,9,3-2,3-3,3,1,16,3.06
6,15,3-0,5-0,3,1,9,3.06
3,17,2-0,5-2,6,2,14,3.06
3,27,2-0,6-6,6,2,12,3.06
22,27,6-1,6-6,3,1,7,3.06
0,20,0-0,5-5,3,1,12,3.06
0,14,0-0,4-4,3,1,8,3.06
0,9,0-0,3-3,3,1,6,3.06
0,7,0-0,3-1,3,1,10,3.06
0,6,0-0,3-0,3,1,8,3.06
1,3,1-0,2-0,5,2,11,2.5500000000000003
14,27,4-4,6-6,5,2,12,2.5500000000000003
16,20,5-1,5-5,5,2,9,2.5500000000000003
12,14,4-2,4-4,5,2,10,2.5500000000000003
6,27,3-0,6-6,5,2,11,2.5500000000000003
20,23,5-5,6-2,5,2,19,2.5500000000000003
3,10,2-0,4-0,7,3,16,2.3800000000000003
4,20,2-1,5-5,7,3,16,2.3800000000000003
3,22,2-0,6-1,4,2,16,2.04
5,20,2-2,5-5,4,2,12,2.04
5,17,2-2,5-2,4,2,11,2.04
14,23,4-4,6-2,2,1,9,2.04
13,20,4-3,5-5,4,2,13,2.04
3,5,2-0,2-2,2,1,9,2.04
12,15,4-2,5-0,2,1,8,2.04
11,13,4-1,4-3,4,2,12,2.04
2,15,1-1,5-0,4,2,9,2.04
6,9,3-0,3-3,4,2,12,2.04
5,25,2-2,6-4,2,1,8,2.04
7,17,3-1,5-2,2,1,7,2.04
13,17,4-3,5-2,2,1,9,2.04
18,20,5-3,5-5,4,2,11,2.04
15,25,5-0,6-4,2,1,8,2.04
5,10,2-2,4-0,6,3,16,2.04
4,19,2-1,5-4,6,3,12,2.04
5,27,2-2,6-6,2,1,9,2.04
13,19,4-3,5-4,4,2,11,2.04
