n_doubles,trump_count,E[V],σ(V),count
3,5,42.0,0.0,1
1,4,35.66666666666666,8.276655893866582,2
3,4,34.666666666666664,10.370899457402697,1
3,3,34.111111111111114,9.047547902302611,6
2,4,33.11111111111111,10.685169137930052,3
4,1,32.666666666666664,6.79869268479038,1
0,4,29.111111111111114,10.145881740224162,3
3,2,27.11111111111111,12.826737320456793,6
4,0,27.066666666666663,12.62655276563651,5
4,2,26.666666666666668,21.684607956387456,1
2,3,22.733333333333334,11.788160582570054,10
2,0,20.023809523809522,14.041494726149836,28
1,3,16.8,13.766187813646766,10
3,0,15.476190476190476,12.830603109988072,14
2,2,14.333333333333332,18.140629732229435,22
1,2,11.076923076923077,16.117417350815792,13
2,1,10.274509803921568,18.42761467311148,17
1,0,7.533333333333333,16.11838381254089,20
0,3,4.666666666666667,20.214461479278153,4
1,1,1.1904761904761905,20.808471944290517,14
3,1,0.8,11.056170223381136,5
0,0,-2.2666666666666666,12.274963962036594,5
0,1,-10.666666666666666,20.35883241848716,6
0,2,-14.0,8.038649768877326,3
