n_doubles,trump_count,mean_ev,bid_rate,n_hands,should_bid
0,0,-2.266666666666667,0.6,5,False
0,1,-10.666666666666666,0.16666666666666666,6,False
0,2,-14.0,0.0,3,False
0,3,4.666666666666667,0.75,4,True
0,4,29.11111111111111,1.0,3,True
1,0,7.533333333333334,0.7,20,True
1,1,1.1904761904761905,0.5714285714285714,14,True
1,2,11.076923076923077,0.9230769230769231,13,True
1,3,16.8,1.0,10,True
1,4,35.66666666666666,1.0,2,True
2,0,20.02380952380952,0.9285714285714286,28,True
2,1,10.274509803921566,0.8235294117647058,17,True
2,2,14.333333333333332,0.9090909090909091,22,True
2,3,22.73333333333333,1.0,10,True
2,4,33.11111111111111,1.0,3,True
3,0,15.476190476190476,0.8571428571428571,14,True
3,1,0.8,0.6,5,True
3,2,27.11111111111111,1.0,6,True
3,3,34.11111111111111,1.0,6,True
3,4,34.666666666666664,1.0,1,True
3,5,42.0,1.0,1,True
4,0,27.066666666666663,1.0,5,True
4,1,32.666666666666664,1.0,1,True
4,2,26.666666666666668,1.0,1,True
