depth,n_states,mean_cost,std_cost,median_cost,p25,p75,max_cost,pct_zero,trick,position_in_trick
1,367,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7,3
2,367,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7,2
3,348,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7,1
4,378,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7,0
5,55627,2.8038542434429323,6.879947982925531,0.0,0.0,0.0,64.0,77.87944703111799,6,3
6,33102,2.3506132559966164,6.111284414017964,0.0,0.0,0.0,52.0,80.76853362334602,6,2
7,20033,1.8183996405930216,5.471067367588497,0.0,0.0,0.0,54.0,84.65032696051516,6,1
8,10118,3.356196880340576,7.510644912719727,0.0,0.0,2.0,64.0,70.3795216445938,6,0
9,164099,2.1436206192603247,5.876495327454364,0.0,0.0,0.0,66.0,81.5641777219849,5,3
10,78328,1.9785261975283424,5.4723003760467845,0.0,0.0,0.0,64.0,81.93111020324788,5,2
11,37847,1.7935371363648374,5.260339162327621,0.0,0.0,0.0,66.0,83.40951726689038,5,1
12,12657,3.5205814838409424,7.25553035736084,0.0,0.0,2.0,64.0,65.92399462747886,5,0
13,49781,2.520439525120026,6.653352459404259,0.0,0.0,0.0,68.0,80.38609107892569,4,3
14,20861,2.2191649489477974,5.791273723662268,0.0,0.0,0.0,56.0,79.92426058194717,4,2
15,8982,2.1010910710309507,5.664605398488588,0.0,0.0,0.0,48.0,80.82832331329325,4,1
16,2255,4.034589767456055,7.693729877471924,0.0,0.0,2.0,44.0,64.03547671840354,4,0
17,2944,3.608016304347826,8.293029477385065,0.0,0.0,0.0,76.0,76.25679347826086,3,3
18,1245,2.3807228915662653,6.114801145722155,0.0,0.0,0.0,64.0,78.79518072289157,3,2
19,485,2.9443298969072167,7.508002178736385,0.0,0.0,0.0,56.0,75.87628865979381,3,1
20,77,4.181818008422852,7.642545700073242,0.0,0.0,6.0,42.0,58.44155844155844,3,0
21,67,3.283582089552239,6.3028209039872705,0.0,0.0,1.0,22.0,74.6268656716418,2,3
22,25,2.16,5.682816203256974,0.0,0.0,0.0,24.0,80.0,2,2
23,5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2,1
24,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2,0
25,1,20.0,0.0,20.0,20.0,20.0,20.0,0.0,1,3
