played_id,played_name,suggests_1,lr_1,suggests_2,lr_2,suggests_3,lr_3,unlikely_1,lr_unlikely_1
0,0-0,5-2,5.118628690360151,4-4,3.935352335414974,4-0,3.6683060061459294,6-1,0.01
1,1-0,6-0,5.478525026532649,4-1,4.321381273559872,4-2,4.161243792699678,5-4,0.01
2,1-1,6-4,6.4748779008330555,6-6,4.653167855216649,6-3,3.851149045313949,6-1,0.01
3,2-0,6-2,8.65133968150035,3-1,5.613009583375118,4-4,5.431649256289204,5-4,0.01
4,2-1,5-2,2.841325046188561,4-1,2.599299813811411,6-3,2.53002693712321,5-1,0.01
5,2-2,6-0,7.955313994830742,5-4,6.441243691290659,1-0,6.013949053575145,5-3,0.01
6,3-0,3-1,6.564724062229585,6-1,5.857230590537832,4-2,5.7818593592378935,5-4,0.01
7,3-1,4-4,6.070400222831292,5-3,4.106155698484173,5-0,3.343583432682501,6-6,0.01
8,3-2,5-4,4.376838364427195,6-0,4.135920632067552,6-5,3.9486877233269833,5-2,0.01
9,3-3,6-1,3.9228634696612144,5-5,3.2223870633207556,4-3,3.100747196393603,1-0,0.01
10,4-0,6-6,3.622946510767044,1-1,3.2105827091784827,4-3,3.1178986678330842,5-3,0.01
11,4-1,5-1,3.3600309064232343,3-0,2.5463214979835147,5-3,2.4652283838393023,4-3,0.01
12,4-2,1-0,5.604110065913837,6-1,4.427761825203313,3-0,3.7929273693516157,0-0,0.01
13,4-3,6-6,6.32141671167681,5-4,3.5555014029409775,6-3,2.8409014685096903,5-3,0.01
14,4-4,5-1,2.4638675827778442,4-1,2.371339969474642,6-6,2.0950472082004508,6-4,0.01
15,5-0,6-5,2.849772572843241,2-1,2.643183253608042,3-0,2.4683562084234025,5-1,0.01
16,5-1,6-6,3.2823246986554824,4-1,2.9784504487299173,6-2,2.4922909346929116,5-0,0.01
17,5-2,2-1,4.218713578701514,0-0,3.2364950199358082,2-0,2.7402267105763394,6-0,0.01
18,5-3,6-4,5.32760393774369,5-1,3.4261572671085028,3-0,2.8536074252804093,6-1,0.01
19,5-4,4-3,3.920468880479008,2-2,3.828561799605228,6-0,3.1100937302311027,6-5,0.01
20,5-5,6-5,6.85318543856852,6-0,4.357326810609607,5-0,3.4331168981744034,6-6,0.01
21,6-0,5-5,4.144083680184972,2-2,3.268073628245694,5-4,3.185046769611151,5-2,0.01
22,6-1,6-5,3.5937296587524203,3-0,3.2531939824401594,1-0,3.133635644330223,6-6,0.01
23,6-2,5-1,3.5469384936288573,2-0,3.391315084646401,4-2,3.2713948369809143,2-2,0.13516725666986318
24,6-3,6-6,3.351138251258662,4-3,2.890997251266455,2-1,2.5654028763258565,4-4,0.01
25,6-4,1-1,5.260303929185436,5-3,4.432453976584547,1-0,4.190872348354389,4-4,0.01
26,6-5,5-5,4.320084623363027,5-0,3.5745199682740827,5-1,2.8291708770490005,5-4,0.01
27,6-6,4-3,4.945117847247129,6-3,3.5072025785201686,1-1,3.1106075866270695,6-1,0.01
