metric,value
n_seeds,200.0
mean_p0_voids,0.67
mean_team0_voids,1.275
mean_team1_voids,1.415
r_p0_voids_V,0.2003431159440398
p_p0_voids_V,0.004449293515782654
r_p1_voids_V,-0.04590344785053675
p_p1_voids_V,0.5186394387270549
r_p2_voids_V,-0.13054989438176107
p_p2_voids_V,0.06539101829543181
r_p3_voids_V,-0.0015035723964604963
p_p3_voids_V,0.9831415912544337
r_team0_voids_V,0.04432601324087671
p_team0_voids_V,0.5331256988399066
r_team1_voids_V,-0.03392146230522633
p_team1_voids_V,0.6334673204255047
r_opp_trump_void_V,0.1933712210799016
p_opp_trump_void_V,0.00607910795708045
r_void_advantage_V,0.054685048563122604
p_void_advantage_V,0.4418389271962639
