position,domino_id,pips,mean_eq
0,4,2-1,-5.0531065279450535
1,8,3-2,-3.863472233395124
2,16,5-1,-3.779212228607318
3,7,3-1,-3.76320769512461
4,3,2-0,-3.6989689492004527
5,21,6-0,-3.685755882777703
6,11,4-1,-3.620135069078811
7,15,5-0,-3.5679908532019438
8,12,4-2,-3.5050982495001555
9,17,5-2,-3.4763216588960963
10,6,3-0,-3.3834360055743615
11,24,6-3,-3.3338391742017746
12,22,6-1,-3.2198681796814737
13,10,4-0,-2.9884814506371256
14,1,1-0,-2.791713016334287
15,13,4-3,-2.3920339072675145
16,19,5-4,-2.252403756845814
17,18,5-3,-2.2205325580040403
18,0,0-0,-2.100579010554036
19,23,6-2,-2.060967586280259
20,26,6-5,-1.5830824643529977
21,5,2-2,-0.9266715393280547
22,9,3-3,-0.4117531706815648
23,2,1-1,0.15064551556155892
24,25,6-4,0.1794040861176876
25,27,6-6,0.6096029709590454
26,14,4-4,0.8187268103627466
27,20,5-5,2.0429935942166053
