Domino,Move_1,Move_2,Move_3,Move_4,Move_5,Move_6,Move_7,Move_8,Move_9,Move_10,Move_11,Move_12,Move_13,Move_14,Move_15,Move_16,Move_17,Move_18,Move_19,Move_20,Move_21,Move_22,Move_23,Move_24,Move_25,Move_26,Move_27,Move_28
2-1,57,17,29,20,59,29,20,27,52,26,21,23,42,31,25,34,29,19,28,22,19,14,21,14,8,4,14,12
3-2,63,16,32,23,64,24,29,21,44,30,23,30,32,28,31,32,23,31,31,29,21,20,12,21,12,14,8,10
5-1,69,19,25,34,52,20,24,31,46,27,24,33,39,25,15,21,27,16,16,15,16,21,21,9,12,9,11,11
3-1,71,22,21,26,54,26,21,27,46,24,30,23,39,29,18,30,31,19,17,18,18,19,16,13,9,7,8,10
2-0,57,23,23,19,55,24,23,22,51,19,15,28,46,23,26,24,29,21,20,16,25,14,16,20,7,9,5,16
6-0,57,27,24,18,53,33,31,23,42,24,20,25,31,11,27,20,24,20,26,17,18,20,13,18,14,3,10,8
4-1,66,24,21,28,52,26,25,26,41,29,17,24,31,26,16,17,32,16,14,14,16,11,14,16,5,17,4,8
5-0,75,28,23,17,67,16,22,30,51,21,35,26,42,26,25,29,38,18,15,22,24,20,23,17,7,8,12,16
4-2,61,18,29,25,54,34,27,19,40,22,25,22,36,29,21,16,28,19,18,22,15,15,8,14,8,9,9,6
5-2,59,27,20,24,49,21,26,32,25,30,30,31,28,21,36,21,24,22,27,24,19,16,20,17,7,10,13,6
3-0,49,26,29,25,56,17,20,20,43,27,29,18,41,21,24,28,25,19,24,19,17,13,21,16,10,12,16,6
6-3,65,24,24,20,43,21,25,41,39,28,20,28,35,24,16,22,26,20,26,11,16,14,13,14,6,7,10,6
6-1,68,23,24,18,53,23,24,36,41,22,26,22,28,21,20,17,19,20,19,19,23,16,7,14,14,8,9,5
4-0,67,17,24,28,52,24,35,20,55,28,19,23,37,18,23,22,31,16,23,12,19,20,13,13,14,9,8,4
1-0,55,27,18,20,48,19,25,25,48,23,26,23,37,21,31,19,39,18,20,19,25,14,14,20,13,12,8,17
4-3,61,25,26,22,51,22,40,23,42,33,36,23,34,16,23,27,19,27,18,17,15,14,14,18,8,10,7,9
5-4,62,21,24,30,60,18,36,25,43,15,34,30,27,19,27,22,18,21,19,18,9,11,12,8,6,7,4,2
5-3,67,24,22,23,49,17,26,25,40,23,23,36,37,27,14,19,19,19,18,22,14,14,11,10,7,14,9,7
0-0,57,16,17,23,49,16,20,18,47,20,20,17,38,19,29,16,33,19,18,28,21,18,15,20,7,7,15,10
6-2,64,23,17,30,56,17,33,41,50,18,31,16,35,24,25,26,27,24,20,18,18,14,18,17,4,6,9,7
6-5,68,25,23,27,49,24,31,29,36,16,33,31,35,17,20,21,17,10,19,23,10,13,10,13,6,8,10,8
2-2,58,21,22,18,50,23,26,19,44,20,20,18,43,18,22,19,32,15,25,20,26,14,15,14,9,5,5,13
3-3,53,20,16,16,59,27,21,17,55,24,23,25,30,17,26,29,36,16,28,15,21,14,19,16,15,6,8,8
1-1,57,28,14,15,65,20,23,22,55,19,24,19,35,16,18,27,21,13,20,30,16,8,17,12,9,6,9,4
6-4,69,21,28,21,47,26,30,36,43,25,30,24,35,21,15,20,22,17,15,12,11,15,11,9,4,10,9,5
6-6,60,26,18,14,47,27,28,21,42,18,24,18,44,12,21,20,22,14,21,28,10,7,17,14,8,3,6,10
4-4,66,14,20,21,52,27,26,18,43,17,27,18,32,16,23,17,31,13,17,23,16,16,14,16,10,11,10,15
5-5,69,24,18,19,55,18,29,27,46,19,29,28,31,19,30,20,28,16,19,19,22,19,14,11,11,19,4,11
