Domino,Move_1,Move_2,Move_3,Move_4,Move_5,Move_6,Move_7,Move_8,Move_9,Move_10,Move_11,Move_12,Move_13,Move_14,Move_15,Move_16,Move_17,Move_18,Move_19,Move_20,Move_21,Move_22,Move_23,Move_24,Move_25,Move_26,Move_27,Move_28
2-1,-7.432870676446902,-13.656892075258142,-5.076657118468449,-2.5323340952396394,-9.847763596954993,-9.117333687584976,3.030130036175251,-12.540147083776969,-5.756065887900499,-10.98203312433683,-1.5170585073175884,-7.878068576688352,-4.5564597227743695,-4.989871052965041,-1.790323143005371,-7.235570630606483,-1.6752210526630795,-6.954152084494892,2.540143153763243,-6.9296946390108625,-0.7374092513009122,-2.529270846928869,-0.9593707599810192,-8.551070945603508,-2.6612142100930214,-6.615273222327232,0.21010110633713858,-4.745231087009112
3-2,-4.888231806693569,-16.33692330121994,4.34345742687583,-1.269369819889898,-8.417892949539237,-13.765546072274446,1.173248998050032,-0.641751039595831,-6.931022434410724,-10.718235068023205,3.7709643840789795,-10.392731062571208,-5.2065138928592205,-9.0406502698149,0.7402090795578495,-8.603260789066553,-1.0818617654883342,-5.673933098393102,0.5456731449211797,-7.962289429944137,2.6348518700826737,-6.979838086664676,-0.8903958201408386,-6.613696529751732,7.982626398404439,-2.8277603409120013,1.008958339691162,-2.135308599472046
5-1,-6.265441557635432,-14.23998108663057,-2.3059360641241073,-5.189564908252043,-7.73416909804711,-9.211480993032456,1.0861805118620396,-9.672208239955287,-5.557247232200335,-7.281179952400702,2.5318929503361383,-7.437616749243303,-2.9160894942589297,-5.953140501976013,-0.7056240399678548,-6.28269270488194,-4.148111266118509,-2.6791322603821754,3.081896509975195,-6.608979360262553,-1.1542688980698586,-3.3145622802632198,0.19055662481557756,-6.45311000612047,0.499373900393645,-0.9966968695322672,5.760065620595759,-2.860674955628135
3-1,-5.894085993019628,-9.8459894630042,0.366670949118478,-12.494757734812223,-9.803628548427865,-8.831577165768696,-0.325094047046843,-4.76972699937997,-5.577211780392605,-10.522559644654393,4.949161851406098,-3.092526404753975,-4.2242391388385725,-4.020384443217311,1.1880058381292555,-4.3932759083186586,-4.245292354975978,-4.003661773706737,-2.2864450216293335,-5.307216920786434,-3.179394763376978,-4.283358647635109,3.2557919826358557,-1.4496388584375381,-0.2846696840392219,-4.4092467938150675,0.027925580739974976,-1.9133895754814148
2-0,-5.420794941484928,-8.258892393630484,8.325007791104523,-8.802552467898318,-7.554513785243034,-10.406024006505808,-3.689668023067972,-3.3304687521674414,-5.455760705704782,-8.341330277292352,0.7131024599075317,-7.486399965626853,-4.523520806237407,-4.992343482763871,1.629125448373648,-6.273981764912605,-1.8728862862134803,-5.668119082138652,0.3088414788246155,-6.473731563426554,-2.318308953046799,-3.68232796979802,-1.6093479236587882,-4.227557146549225,-0.21845267500196183,-4.942281905147764,3.957546854019165,-2.955489732325077
6-0,-3.4071213895814463,-8.072616848680708,1.2304589450359344,-2.7349128590689764,-6.761678668266198,-11.446717273105275,1.0677144190957468,-7.556177823439889,-6.005864190203803,-7.716613804300626,-0.25434566736221315,-11.004027214050293,-7.923480576084506,-11.583504460074685,-0.3450482487678528,-0.8167522121220827,-4.8293404870977,-7.392794263362885,1.9462157473541224,-4.729342274806079,0.03958009680112203,-1.4541814353317022,0.5910300578062351,-2.5790129407412477,0.023760793464524404,-6.390046497186025,5.04429743885994,-0.14064308255910873
4-1,-5.52467682551254,-8.138306364417076,1.3267380169459753,-4.9626781472138,-6.031647286037556,-16.995881581535706,-0.8386598002910614,-4.388295315779173,-5.37575786578946,-11.743464887142181,5.313282315345371,-1.623869811495145,-8.42236962962535,-3.579228911190652,-2.3205091170966625,-3.904305710512049,-3.6029740448575467,-5.432192511856556,4.546981981822422,-5.306887354169573,0.38913316978141665,-7.700334332206032,-2.15623335832996,-1.515642136335373,-8.40023365020752,-5.176269622410045,13.089208722114563,-2.8887078762054443
5-0,-8.019230031967163,-11.781208921223879,3.4782411119212275,-6.711584525949815,-9.951715552095157,-4.464001572690904,3.6493732820857656,-2.7096974530567723,-6.4535024160263585,-8.779787934961773,4.469137907028198,-9.48494263795706,-4.323520673882394,-3.8052011739749174,-0.07129742726683616,-11.577961833312594,-2.021479241157833,-6.81385385327869,2.0579860965410868,-9.408061228015207,-6.507588446140289,-5.869708502292633,7.860827395449514,-5.75190861084882,1.3648138727460588,0.5183721482753754,7.414121747016907,-6.210365414619446
4-2,-6.09832580705158,-9.518045220110151,-1.6943006885462795,-10.895445461273193,-7.931329885911611,-5.940197884324281,6.250338964164257,-4.838809201591893,-6.398276896774769,-11.27178578485142,0.46582557559013366,-3.5701381103558973,-5.410101816058159,-5.5558539834515805,-1.115667692252568,-3.584072858095169,-2.5667343863419125,-3.876550034472817,3.3818841135750213,-8.421598824587734,3.459543466567993,-5.497491345802943,0.4215938374400139,-6.015655542590788,4.342449741438031,-2.5219256248739033,-2.0559609731038413,-1.6861186623573303
5-2,-8.18388662297847,-11.85901133219401,-2.651989233493805,-14.662235995133718,-7.935423383299185,-9.768438021341959,3.0855431808875156,-8.129475211724639,-2.5870787227153778,-11.648571930701534,2.231797449166576,-7.038333016057169,-0.3965228782700641,-7.479320994445255,3.3066416275170116,1.5646394661494665,-0.9265624809389313,-7.7425228506326675,4.177133982104284,-8.848333060741425,-3.3072566544931186,-1.151677047368139,3.8550232902169226,-3.6057485035237145,2.917044827182378,-1.9497786104679107,2.5813809770804186,-1.1840446988741558
