surface,group,width,mean,min,max,nonzero_fraction
global,declaration,10,0.067164,0.0,0.134328,0.9
global,phase,3,0.164179,0.149254,0.179104,1.0
global,hand_shape,10,0.261194,0.19403,0.328358,1.0
global,legal_action_summary,6,0.380597,0.343284,0.41791,1.0
global,public_count,5,0.462687,0.432836,0.492537,1.0
global,void_summary,4,0.529851,0.507463,0.552239,1.0
global,visible_pip_coverage,7,0.61194,0.567164,0.656716,1.0
global,current_trick_pressure,9,0.731343,0.671642,0.791045,1.0
global,own_pip_coverage,7,0.850746,0.80597,0.895522,1.0
global,unseen_count_by_pip,7,0.955224,0.910448,1.0,1.0
action,slot,2,0.785714,0.0,1.0,0.785714
action,identity,8,0.0625,0.0,1.0,0.107143
action,trick_relation,6,0.0,0.0,0.0,0.0
action,count_pressure,2,0.0,0.0,0.0,0.0
action,suit_pressure,4,0.0,0.0,0.0,0.0
action,pip_pressure,3,0.0,0.0,0.0,0.0
action,double_protection,3,0.0,0.0,0.0,0.0
action,hand_shape,2,0.0,0.0,0.0,0.0
action,donation_window,2,0.0,0.0,0.0,0.0
