game_idx,seed,decl_id,decl_name,bid_value,decision_idx,trick_idx,trick_position,actor,seat_role,team,offense_score_before,defense_score_before,actual_action_domino,legal_action_count,top_mean_domino,top_mean,top_threshold_domino,top_threshold_mass,safest_tail_domino,safest_lower_tail_mass,actual_mean_rank_desc,actual_threshold_rank_desc,actual_lower_tail_rank_asc,decision_scalar_ev_lying_by_omission,decision_multi_peak_action_count,decision_max_std,decision_max_shelf_gap,decision_max_hidden_impact,decision_max_hidden_downside,decision_max_hidden_upside,strategy_context_tags,matched_position_detectors,distribution_shape_tags
0,9430,0,blanks,30,0,0,0,0,bidder,offense,0,0,2-2,7,2-2,-11.95231819152832,2-2,0.10199999809265137,2-2,0.4350000023841858,1,1,1,True,7,22.63665199279785,43,23.551812276244164,16.688589529134333,21.710284158587456,bidder_opening_lead|first_trick,bidder_first_lead_plan,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,1,0,1,1,left_setter,defense,0,0,5-2,1,5-2,-14.996599197387695,5-2,0.4740000069141388,5-2,0.515999972820282,1,1,1,False,1,23.535964965820312,23,21.158482186496258,11.088662922382355,19.62651727348566,first_setter_response|first_trick,first_setter_pounce_window,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|wide_shelf_gap
0,9430,0,blanks,30,2,0,2,2,bidder_partner,offense,0,0,4-2,2,4-2,35.04350662231445,4-2,0.9340000152587891,2-1,0.0,1,1,2,True,2,12.556025505065918,22,7.188383936882019,5.879911959171295,7.188383936882019,first_trick|partner_third_seat_support,partner_third_seat_safe_donation,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,3,0,3,3,right_setter,defense,0,0,3-2,1,3-2,-7.245913028717041,3-2,0.6209999918937683,3-2,0.34700000286102295,1,1,1,False,1,19.421777725219727,58,13.55682772397995,9.541670173406601,12.673562735319138,defender_last_to_act_closure|first_trick|last_to_act|setter_count_pressure,last_to_act_closure_policy|setter_count_before_certainty,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|wide_shelf_gap
0,9430,0,blanks,30,4,1,0,0,bidder,offense,6,0,6-5,6,6-5,-13.342135429382324,6-5,0.1340000033378601,6-5,0.4569999873638153,1,1,1,True,6,24.479524612426758,39,24.697330251336098,18.6095347777009,22.79484397917986,,first_trick_public_belief_update,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,5,1,1,1,left_setter,defense,6,0,6-1,1,6-1,-7.76635217666626,6-1,0.6150000095367432,6-1,0.3709999918937683,1,1,1,False,1,25.452041625976562,81,23.87090676277876,13.87311801314354,22.236495044082403,,first_trick_public_belief_update,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|wide_shelf_gap
0,9430,0,blanks,30,6,1,2,2,bidder_partner,offense,6,0,5-0,6,2-1,33.52618408203125,5-0,0.8479999899864197,2-0,0.0,3,1,5,True,6,10.83676528930664,27,10.131529569625854,8.037505686283112,10.131529569625854,called_suit_pressure|partner_count_donation,first_trick_public_belief_update|partner_forcedness_and_safety,hidden_threat_large_impact|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,7,1,3,3,right_setter,defense,6,0,0-0,6,0-0,5.239487171173096,0-0,0.7590000033378601,0-0,0.22300000488758087,1,1,1,True,6,23.30152702331543,70,27.194837663322687,12.380654782056808,26.13379447348416,called_suit_pressure|last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,8,2,0,3,right_setter,defense,6,6,1-0,5,1-0,-10.189855575561523,1-0,0.5019999742507935,1-0,0.48399999737739563,1,1,1,True,5,25.195396423339844,72,35.85447360575199,22.01592291891575,33.708601005375385,called_suit_pressure|setter_lead_pressure,defender_damage_lead_class|first_trick_public_belief_update,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,9,2,1,0,bidder,offense,6,6,4-1,5,4-1,-11.391218185424805,4-1,0.16699999570846558,6-4,0.4569999873638153,1,1,3,True,5,25.654483795166016,73,31.190210223197937,24.503448724746704,28.90521028637886,,first_trick_public_belief_update,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,10,2,2,1,left_setter,defense,6,6,1-1,5,1-1,1.4669735431671143,1-1,0.8610000014305115,1-1,0.13899999856948853,1,1,1,True,5,20.419919967651367,61,19.323650360107422,14.518414497375488,18.62865036725998,setter_count_pressure,first_trick_public_belief_update|setter_count_before_certainty,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,11,2,3,2,bidder_partner,offense,6,6,6-0,3,6-0,32.23548126220703,6-0,0.8259999752044678,2-0,0.0,1,1,3,True,3,9.73263931274414,26,9.796030879020691,8.525504529476166,8.211378931999207,called_suit_pressure|last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,12,3,0,2,bidder_partner,offense,12,6,3-3,4,3-3,24.221773147583008,3-3,0.777999997138977,2-0,0.0,1,1,3,True,4,11.738329887390137,25,9.450705647468567,8.178731501102448,9.076916098594666,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,13,3,1,3,right_setter,defense,12,6,4-3,1,4-3,-25.506542205810547,4-3,0.16099999845027924,4-3,0.8389999866485596,1,1,1,False,1,10.375860214233398,25,15.532192140817642,5.517533211037517,13.906913250684738,,first_trick_public_belief_update,hidden_threat_large_impact|large_lower_tail|multi_peak_pdf|wide_shelf_gap
0,9430,0,blanks,30,14,3,2,0,bidder,offense,12,6,6-3,1,6-3,2.3133559226989746,6-3,0.3190000057220459,6-3,0.26600000262260437,1,1,1,False,1,22.00479507446289,58,19.48883007839322,18.024834418669343,16.24871638417244,,first_trick_public_belief_update,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|wide_shelf_gap
0,9430,0,blanks,30,15,3,3,1,left_setter,defense,12,6,3-1,2,3-1,2.993008852005005,3-1,0.8259999752044678,3-1,0.17399999499320984,1,1,1,True,2,19.939990997314453,58,19.840592801570892,16.030501127243042,18.970592826604843,last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_std|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,16,4,0,2,bidder_partner,offense,13,6,4-0,3,4-0,23.773601531982422,4-0,0.8050000071525574,2-0,0.0,1,1,3,True,3,11.915453910827637,31,10.655542016029358,9.269767105579376,9.135759949684143,called_suit_pressure|late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,17,4,1,3,right_setter,defense,13,6,3-0,1,3-0,-25.889442443847656,3-0,0.13300000131130219,3-0,0.8669999837875366,1,1,1,False,1,8.151439666748047,25,14.978130251169205,5.166703507304192,13.259617775678635,called_suit_pressure|late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|large_lower_tail|multi_peak_pdf|wide_shelf_gap
0,9430,0,blanks,30,18,4,2,0,bidder,offense,13,6,6-4,3,6-4,7.785787105560303,6-2,0.30399999022483826,6-4,0.0,1,2,1,True,3,22.923908233642578,56,20.875263392925262,16.764266535639763,19.654321536421776,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_std|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,19,4,3,1,left_setter,defense,13,6,4-4,3,4-4,-4.090425491333008,4-4,0.8080000281333923,4-4,0.19200000166893005,1,1,1,False,3,13.271746635437012,35,14.263013899326324,13.091855108737946,13.303013890981674,last_to_act|late_hand|setter_count_pressure,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure|setter_count_before_certainty,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|wide_shelf_gap
0,9430,0,blanks,30,20,5,0,2,bidder_partner,offense,24,6,2-1,2,2-1,7.686462879180908,2-0,0.0,2-0,0.0,1,2,2,True,2,14.223348617553711,34,10.88679552078247,9.462354898452759,10.88679552078247,called_suit_pressure|late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,9430,0,blanks,30,21,5,1,3,right_setter,defense,24,6,5-1,2,5-1,-16.701452255249023,5-1,0.5130000114440918,5-1,0.0,1,1,1,False,2,1.1209626197814941,2,6.279345512390137,3.7143454551696777,5.961095809936523,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,hidden_threat_large_impact|high_variance_close_mean|multi_peak_pdf
