contrast_id,label,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
called_suit_pressure_vs_non_called_suit_pressure,called_suit_pressure,56,-3.3880924119481017,-6.806400543877056,-0.5457485445908138,3.3880924119481017,-0.06901785358786583,0.03691071497658933
hidden_threat_large_impact_vs_non_hidden_threat_large_impact,hidden_threat_large_impact,19,-10.691826095706539,-20.095000041158574,-3.1118173536501432,10.691826095706539,-0.17268421187212593,0.012736845565469642
high_std_vs_non_high_std,high_std,47,-1.3538266832524157,-6.846770109014308,2.420646032120319,1.3538266832524157,-0.016829786443230795,-0.037361701286615846
high_variance_close_mean_vs_non_high_variance_close_mean,high_variance_close_mean,117,3.360176058915945,2.3151776500237293,4.42469484021521,-3.360176058915945,0.04792307837046365,-0.04390598239743302
large_lower_tail_vs_non_large_lower_tail,large_lower_tail,25,-17.520136883258818,-21.505971593856813,-14.225966975688934,17.520136883258818,-0.2362400060892105,0.3246000030823052
multi_peak_pdf_vs_non_multi_peak_pdf,multi_peak_pdf,19,-7.786790838367061,-15.579713184582559,-0.8780321572956286,7.786790838367061,-0.14152631869441584,0.021315793261716242
needs_belief_model_vs_non_needs_belief_model,needs_belief_model,16,2.3454393222928047,-0.8116520643234253,7.757203243672848,-2.3454393222928047,0.04887499839969678,0.010625003895256668
needs_real_bid_margin_vs_non_needs_real_bid_margin,needs_real_bid_margin,39,-7.199047342324868,-10.693391168728853,-4.652396854681847,7.199047342324868,-0.15046154115444574,0.14123077234492087
partner_count_donation_vs_non_partner_count_donation,partner_count_donation,16,2.3454393222928047,-0.8781508803367615,7.3336774334311485,-2.3454393222928047,0.04887499839969678,0.010625003895256668
partner_forcedness_and_safety_vs_non_partner_forcedness_and_safety,partner_forcedness_and_safety,16,2.3454393222928047,-0.7092881798744202,6.900093279778957,-2.3454393222928047,0.04887499839969678,0.010625003895256668
scalar_ev_lying_by_omission_vs_non_scalar_ev_lying_by_omission,scalar_ev_lying_by_omission,147,2.459125383928114,1.6577775727222566,3.0861471241631477,-2.459125383928114,0.0318775510440777,-0.026897958549512487
setter_count_before_certainty_vs_non_setter_count_before_certainty,setter_count_before_certainty,53,-7.192784408353409,-10.064772452948228,-3.7963778567763993,7.192784408353409,-0.14237735996831138,0.13437735981676938
setter_count_pressure_vs_non_setter_count_pressure,setter_count_pressure,53,-7.192784408353409,-10.6707566043116,-4.442391804929049,7.192784408353409,-0.14237735996831138,0.13437735981676938
wide_shelf_gap_vs_non_wide_shelf_gap,wide_shelf_gap,41,-3.0648232582138806,-9.009333072639093,1.1727567809384043,3.0648232582138806,-0.03675609718008739,-0.0556341441825214
