label,action_n
bidder_first_lead_plan,70
bidder_opening_lead,70
called_suit_pressure,148
defender_damage_lead_class,85
defender_last_to_act_closure,20
distribution_labels_ready,215
doubles_regime_plan,75
doubles_trump_regime,75
first_setter_pounce_window,17
first_setter_response,17
first_trick,124
first_trick_public_belief_update,649
hidden_threat_large_impact,642
hidden_threat_offline_label_ready,763
high_std,457
high_variance_close_mean,233
large_lower_tail,392
last_to_act,194
last_to_act_closure_policy,194
late_hand,215
late_trick_threshold_closure,215
multi_peak_pdf,666
needs_belief_model,20
needs_real_bid_margin,154
no_trump_lead_control_and_support,86
no_trump_regime,86
partner_count_donation,20
partner_forcedness_and_safety,20
partner_third_seat_safe_donation,17
partner_third_seat_support,17
public_context_ready,756
scalar_ev_lying_by_omission,147
setter_count_before_certainty,68
setter_count_pressure,68
setter_lead_pressure,85
wide_shelf_gap,569
