label,action_n,decision_n,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate,mean,mean_regret,mean_regret_ci95_low,mean_regret_ci95_high,mean_threshold_mass,mean_lower_tail_mass
bidder_first_lead_plan,70,10,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,4.556813190664564,5.308232547555651,3.9706173147474018,6.657726602894919,0.3767285726964474,0.2493857136578299
bidder_opening_lead,70,10,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,4.556813190664564,5.308232547555651,4.1281196577208386,6.690017945425851,0.3767285726964474,0.2493857136578299
called_suit_pressure,148,92,0.42567567567567566,0.41216216216216217,0.38513513513513514,0.39864864864864863,9.340706024620983,4.159340770663442,2.690769393299077,5.6360609748879,0.6374121643351139,0.1992094605056745
defender_damage_lead_class,85,24,0.2823529411764706,0.2823529411764706,0.2823529411764706,0.2823529411764706,6.756754078935175,3.6423958901096793,2.7098921043031354,4.793161065438214,0.8071176479844486,0.1859764703823363
defender_last_to_act_closure,20,10,0.5,0.5,0.5,0.5,-10.423692792654037,5.642102235555649,1.9057714819908143,8.858704245090484,0.5228499993681908,0.45965000092983244
distribution_labels_ready,215,120,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,-2.048256024163823,2.4305396438684572,1.6378749415971512,3.252194954905399,0.44079069822680117,0.30088837354682213
doubles_regime_plan,75,28,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,-0.9112085248033206,2.041327451566855,1.3063418892025949,2.872780435085297,0.4678666678676382,0.24689333440735936
doubles_trump_regime,75,28,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,-0.9112085248033206,2.041327451566855,1.364975206454595,2.9585231439272563,0.4678666678676382,0.24689333440735936
first_setter_pounce_window,17,10,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.9494757266605601,5.418550887528588,1.5878115541794722,9.32553667531294,0.7402941251502317,0.2502352964845212
first_setter_response,17,10,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.9494757266605601,5.418550887528588,1.3395793578203987,10.139932748149423,0.7402941251502317,0.2502352964845212
first_trick,124,40,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903,0.38480419160858276,4.745973470230257,3.6662106143851436,5.835341591508158,0.4343387111570806,0.30242741985843635
first_trick_public_belief_update,649,240,0.3697996918335901,0.3697996918335901,0.3697996918335901,0.3697996918335901,-1.7921323048407198,3.048537768148035,2.5314914491400695,3.511443916266247,0.4618489984211258,0.33114946114067245
hidden_threat_large_impact,642,216,0.3177570093457944,0.3177570093457944,0.3161993769470405,0.32398753894080995,-2.833812071898273,3.908769969500578,3.401810218925324,4.427264814355013,0.4320389411034646,0.3410591906311231
hidden_threat_offline_label_ready,763,270,0.35386631716906947,0.35386631716906947,0.35386631716906947,0.35386631716906947,-1.328529322170805,3.364353501751804,2.95773194360194,3.802709105267125,0.45687811292108604,0.3282005246955997
high_std,457,163,0.3172866520787746,0.3172866520787746,0.3172866520787746,0.3150984682713348,-2.7231666290036176,4.331557055303513,3.696748121627311,4.967745154052647,0.43752078805933964,0.32846389528536146
high_variance_close_mean,233,146,0.5107296137339056,0.49356223175965663,0.463519313304721,0.48068669527896996,-2.2192742897141646,0.13744035539069402,0.10043120368227938,0.169093187274851,0.4338798283723227,0.3447381981004973
large_lower_tail,392,153,0.32653061224489793,0.32653061224489793,0.32908163265306123,0.32653061224489793,-16.985984422380522,3.993706987030348,3.2497824690475756,4.776680788253339,0.25957397977187185,0.605053572478343
last_to_act,194,70,0.36082474226804123,0.36082474226804123,0.36082474226804123,0.36082474226804123,-11.843801905583476,2.9742687735514544,2.205152998880013,3.7876727557213035,0.36233505065140037,0.4967989700548735
last_to_act_closure_policy,194,70,0.36082474226804123,0.36082474226804123,0.36082474226804123,0.36082474226804123,-11.843801905583476,2.9742687735514544,2.1427598905932044,3.675945001318283,0.36233505065140037,0.4967989700548735
late_hand,215,120,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,-2.048256024163823,2.4305396438684572,1.7314730053724245,3.311236828149751,0.44079069822680117,0.30088837354682213
late_trick_threshold_closure,215,120,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,-2.048256024163823,2.4305396438684572,1.7111135615858921,3.2317149450612623,0.44079069822680117,0.30088837354682213
multi_peak_pdf,666,230,0.32732732732732733,0.3258258258258258,0.32732732732732733,0.3333333333333333,-2.447379323768544,3.7661059675654314,3.342073858679236,4.209740154825531,0.4404459461285215,0.3383138144157013
needs_belief_model,20,20,0.5,0.7,0.4,0.3,0.7028621673583985,0.44595704078674314,0.015425395965576173,1.0128060817718505,0.3592000002914574,0.3578000023961067
needs_real_bid_margin,154,86,0.33116883116883117,0.33116883116883117,0.33116883116883117,0.33116883116883117,-0.30920366584867626,4.7222123720816205,3.73924963853576,5.609684398809037,0.6821103909766519,0.30033766343742124
no_trump_lead_control_and_support,86,28,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.32558139534883723,-2.5221963046595106,2.6954264349715653,1.5316014747286952,3.9414419642714567,0.38319767474435096,0.36059302498104573
no_trump_regime,86,28,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.32558139534883723,-2.5221963046595106,2.6954264349715653,1.535282057385112,4.0962345101112545,0.38319767474435096,0.36059302498104573
partner_count_donation,20,20,0.5,0.7,0.4,0.3,0.7028621673583985,0.44595704078674314,0.01806783676147461,1.0449810028076172,0.3592000002914574,0.3578000023961067
partner_forcedness_and_safety,20,20,0.5,0.7,0.4,0.3,0.7028621673583985,0.44595704078674314,0.012902641296386718,1.0434620380401611,0.3592000002914574,0.3578000023961067
partner_third_seat_safe_donation,17,10,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,-4.642849122776704,0.7039424812092501,0.12183227258570054,1.5553843694574692,0.2614705870475839,0.3880588263273239
partner_third_seat_support,17,10,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,-4.642849122776704,0.7039424812092501,0.09516480389763327,1.4064136112437529,0.2614705870475839,0.3880588263273239
public_context_ready,756,270,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,-1.496718562745228,3.2736592020484663,2.8294954380050066,3.6879074335019424,0.45107539686671255,0.3282579369080763
scalar_ev_lying_by_omission,147,147,0.8095238095238095,1.0,0.5306122448979592,0.5238095238095238,2.470288250113831,0.0,0.0,0.0,0.4934761910160788,0.28257142977320215
setter_count_before_certainty,68,68,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,-8.024822930860168,6.585564750082352,4.728460716850617,8.376895397024995,0.528852941139656,0.4405588255647351
setter_count_pressure,68,68,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,-8.024822930860168,6.585564750082352,4.893523642245461,8.114470069899278,0.528852941139656,0.4405588255647351
setter_lead_pressure,85,24,0.2823529411764706,0.2823529411764706,0.2823529411764706,0.2823529411764706,6.756754078935175,3.6423958901096793,2.7762082731022555,4.739663596013013,0.8071176479844486,0.1859764703823363
wide_shelf_gap,569,199,0.3110720562390158,0.31282952548330406,0.3145869947275923,0.3216168717047452,-1.6598814767384362,4.0244762531116685,3.500044407450671,4.655379563884282,0.4448523726983336,0.3204991217820884
