path,corpus_family,bytes,size_gib,start_seed,end_seed,seed_count,inferred_decl_policy,inspected,game_count,decision_count,decl_counts_json,sample_counts_json,schema,has_bid_value,bid_values_json,has_oracle_softmax_per_seat,has_legal_mask_per_seat,has_voids_per_seat,blob_keys_json,game_attrs_json,decision_attrs_json,load_seconds
gus/data/_len_cache_train_10k.pt,other,8123,0.0,,,,,False,,,,,,,,,,,,,,
gus/data/corpus_eval_20.pt,eval,184865361,0.1722,,,,from payload,True,20,560,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 2, ""9"": 2}","{""800"": 40, ""1600"": 80, ""2400"": 80, ""3200"": 220, ""4000"": 120, ""4800"": 20}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.203
gus/data/corpus_train_100.pt,legacy_single_100,1076629557,1.0027,0,99,100,decl_id = seed % 10; likely predecessor/duplicate of first chunk,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 400, ""3200"": 1000, ""4000"": 700, ""4800"": 500}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.343
gus/data/corpus_train_chunk_0-99.pt,legacy_seed_mod_decl,1112548455,1.0361,0,99,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 400, ""3200"": 700, ""4000"": 900, ""4800"": 600}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.315
gus/data/corpus_train_chunk_100-199.pt,legacy_seed_mod_decl,1184262241,1.1029,100,199,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 300, ""3200"": 600, ""4000"": 800, ""4800"": 800, ""6400"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.331
gus/data/corpus_train_chunk_1000-1099.pt,legacy_seed_mod_decl,1238044893,1.153,1000,1099,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""3200"": 700, ""4000"": 1000, ""4800"": 700, ""5600"": 100, ""6400"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.282
gus/data/corpus_train_chunk_1100-1199.pt,legacy_seed_mod_decl,1166364893,1.0863,1100,1199,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 100, ""3200"": 400, ""4000"": 1800, ""4800"": 300}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.251
gus/data/corpus_train_chunk_1200-1299.pt,legacy_seed_mod_decl,1220124893,1.1363,1200,1299,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 100, ""3200"": 500, ""4000"": 1100, ""4800"": 800, ""5600"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.24
gus/data/corpus_train_chunk_1300-1399.pt,legacy_seed_mod_decl,1157404893,1.0779,1300,1399,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 300, ""3200"": 500, ""4000"": 1100, ""4800"": 700}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.301
gus/data/corpus_train_chunk_1400-1499.pt,legacy_seed_mod_decl,1157404893,1.0779,1400,1499,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 200, ""3200"": 700, ""4000"": 1300, ""4800"": 200, ""5600"": 100, ""6400"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.239
gus/data/corpus_train_chunk_1500-1599.pt,legacy_seed_mod_decl,1175324893,1.0946,1500,1599,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 200, ""3200"": 500, ""4000"": 1200, ""4800"": 700}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.238
gus/data/corpus_train_chunk_1600-1699.pt,legacy_seed_mod_decl,1130524893,1.0529,1600,1699,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 200, ""3200"": 900, ""4000"": 1000, ""4800"": 400, ""5600"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.286
gus/data/corpus_train_chunk_1700-1799.pt,legacy_seed_mod_decl,1175324893,1.0946,1700,1799,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""3200"": 800, ""4000"": 1200, ""4800"": 600}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.298
gus/data/corpus_train_chunk_1800-1899.pt,legacy_seed_mod_decl,1058844893,0.9861,1800,1899,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""1600"": 300, ""3200"": 1100, ""4000"": 700, ""4800"": 500}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.278
gus/data/corpus_train_chunk_1900-1999.pt,legacy_seed_mod_decl,1193244893,1.1113,1900,1999,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 100, ""3200"": 600, ""4000"": 1300, ""4800"": 400, ""5600"": 200}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.334
gus/data/corpus_train_chunk_200-299.pt,legacy_seed_mod_decl,1157382305,1.0779,200,299,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 300, ""3200"": 500, ""4000"": 1100, ""4800"": 700}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.305
gus/data/corpus_train_chunk_2000-2099.pt,legacy_seed_mod_decl,1193244893,1.1113,2000,2099,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 100, ""3200"": 600, ""4000"": 1100, ""4800"": 800}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.325
