surface,decl_name,candidate_rows,unique_seeds,seed_hit_rate,mean_recommendation_score
dead_asset_release_control,blanks,27767,15933,0.31866,9.088774
dead_asset_release_control,fives,27442,15730,0.3146,9.077217
dead_asset_release_control,fours,27211,15614,0.31228,9.057293
dead_asset_release_control,ones,27656,15902,0.31804,9.067327
dead_asset_release_control,sixes,27948,15985,0.3197,9.083154
dead_asset_release_control,threes,27511,15756,0.31512,9.069281
dead_asset_release_control,twos,26987,15577,0.31154,9.072961
defender_live_double_weapon,blanks,20388,13174,0.26348,9.920787
defender_live_double_weapon,fives,20054,13011,0.26022,9.913085
defender_live_double_weapon,fours,19752,12815,0.2563,9.901883
defender_live_double_weapon,ones,20075,13067,0.26134,9.905554
defender_live_double_weapon,sixes,20420,13189,0.26378,9.909794
defender_live_double_weapon,threes,19947,12934,0.25868,9.925202
defender_live_double_weapon,twos,19628,12840,0.2568,9.911045
defender_live_same_suit_pair,blanks,29785,16975,0.3395,9.22283
defender_live_same_suit_pair,fives,29430,16774,0.33548,9.208257
defender_live_same_suit_pair,fours,29175,16632,0.33264,9.195476
defender_live_same_suit_pair,ones,29571,16969,0.33938,9.205877
defender_live_same_suit_pair,sixes,29900,17002,0.34004,9.218528
defender_live_same_suit_pair,threes,29356,16732,0.33464,9.216412
defender_live_same_suit_pair,twos,28996,16577,0.33154,9.207753
laydown_all_trumps,sixes,1,1,2e-05,1.0
pair_protector_pressure,blanks,12476,9598,0.19196,10.606204
pair_protector_pressure,fives,12147,9368,0.18736,10.600477
pair_protector_pressure,fours,12020,9223,0.18446,10.588103
pair_protector_pressure,ones,12220,9427,0.18854,10.599673
pair_protector_pressure,sixes,12478,9580,0.1916,10.590559
pair_protector_pressure,threes,12326,9474,0.18948,10.595408
pair_protector_pressure,twos,12086,9332,0.18664,10.583402
protected_one_off,blanks,3154,3150,0.063,9.704819
protected_one_off,fives,3172,3171,0.06342,9.702396
protected_one_off,fours,3139,3138,0.06276,9.603377
protected_one_off,ones,3272,3270,0.0654,9.647005
protected_one_off,sixes,3182,3181,0.06362,9.702074
protected_one_off,threes,3106,3104,0.06208,9.678042
protected_one_off,twos,3151,3147,0.06294,9.6947
straight_one_off,blanks,1148,1147,0.02294,10.812718
straight_one_off,fives,1205,1204,0.02408,10.775104
straight_one_off,fours,1167,1167,0.02334,10.881748
straight_one_off,ones,1212,1212,0.02424,10.79538
straight_one_off,sixes,1161,1161,0.02322,10.833764
straight_one_off,threes,1205,1205,0.0241,10.863071
straight_one_off,twos,1232,1232,0.02464,10.821429
three_trump_three_double_one_off,blanks,2539,2535,0.0507,10.096101
three_trump_three_double_one_off,fives,2560,2558,0.05116,10.096484
three_trump_three_double_one_off,fours,2499,2496,0.04992,10.007603
three_trump_three_double_one_off,ones,2662,2661,0.05322,10.03982
three_trump_three_double_one_off,sixes,2595,2593,0.05186,10.086705
three_trump_three_double_one_off,threes,2507,2499,0.04998,10.109693
three_trump_three_double_one_off,twos,2573,2573,0.05146,10.062573
two_off_same_suit,blanks,26626,12932,0.25864,8.897844
two_off_same_suit,fives,26184,12660,0.2532,8.876948
two_off_same_suit,fours,26000,12584,0.25168,8.871538
two_off_same_suit,ones,26252,12746,0.25492,8.87559
two_off_same_suit,sixes,26704,12907,0.25814,8.892975
two_off_same_suit,threes,26250,12675,0.2535,8.87501
two_off_same_suit,twos,25706,12436,0.24872,8.876255
