seed,bidder_seat,partner_seat,decl_id,decl_name,bidder_hand,final_off,trump_count,off_count,nontrump_double_count,total_double_count,surfaces,surface_count,recommendation_score,opponent_matching_double_count,opponent_matching_double_seats,partner_matching_double_count,opponent_same_suit_pair_count,opponent_same_suit_pair_seats,opponent_pair_protector_count,opponent_pair_protector_seats,opponent_dead_double_assets,full_deal
6,0,2,5,fives,"2-2,4-3,4-4,5-1,5-2,5-4,6-6",4-3,3,1,3,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off|three_trump_three_double_one_off,6,12,1,1,0,1,1,1,1,2,"[""2-2,4-3,4-4,5-1,5-2,5-4,6-6"", ""2-0,3-0,3-1,3-3,4-2,6-1,6-2"", ""2-1,4-0,4-1,5-5,6-0,6-3,6-5"", ""0-0,1-0,1-1,3-2,5-0,5-3,6-4""]"
16,2,0,2,twos,"0-0,2-1,3-2,5-2,5-5,6-1,6-2",6-1,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off,5,12,1,1,1,2,1|3,1,1,2,"[""1-0,2-0,3-0,4-2,5-1,5-3,6-6"", ""1-1,2-2,4-0,5-4,6-0,6-3,6-4"", ""0-0,2-1,3-2,5-2,5-5,6-1,6-2"", ""3-1,3-3,4-1,4-3,4-4,5-0,6-5""]"
18,3,1,0,blanks,"2-0,2-2,3-0,3-1,4-0,4-4,6-0",3-1,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off,5,12,1,2,1,2,0|2,1,0,2,"[""0-0,4-1,4-2,5-1,6-1,6-2,6-4"", ""1-0,1-1,2-1,3-2,4-3,5-3,6-5"", ""3-3,5-0,5-2,5-4,5-5,6-3,6-6"", ""2-0,2-2,3-0,3-1,4-0,4-4,6-0""]"
19,1,3,4,fours,"2-2,4-0,4-3,4-4,5-3,5-4,6-6",5-3,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,2,0|2,0,2,0|2,1,0,2,"[""0-0,1-1,3-1,5-0,5-2,5-5,6-2"", ""2-2,4-0,4-3,4-4,5-3,5-4,6-6"", ""2-1,3-2,3-3,4-1,4-2,6-1,6-5"", ""1-0,2-0,3-0,5-1,6-0,6-3,6-4""]"
23,3,1,3,threes,"0-0,1-1,3-3,4-3,5-3,6-3,6-5",6-5,4,1,2,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,1,0,1,1,0,1,0,1,"[""2-2,4-0,5-2,5-4,5-5,6-2,6-4"", ""1-0,2-0,4-4,5-0,6-0,6-1,6-6"", ""2-1,3-0,3-1,3-2,4-1,4-2,5-1"", ""0-0,1-1,3-3,4-3,5-3,6-3,6-5""]"
43,3,1,1,ones,"1-0,2-1,3-3,4-1,4-4,6-1,6-3",6-3,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|protected_one_off,5,12,1,0,0,2,0|2,1,0,2,"[""3-1,4-2,5-3,5-5,6-0,6-2,6-6"", ""1-1,2-2,3-0,3-2,4-0,5-2,5-4"", ""0-0,2-0,4-3,5-0,5-1,6-4,6-5"", ""1-0,2-1,3-3,4-1,4-4,6-1,6-3""]"
45,0,2,3,threes,"2-2,3-0,3-1,4-4,5-1,5-3,6-3",5-1,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off,5,12,1,3,1,1,1,1,1,1,"[""2-2,3-0,3-1,4-4,5-1,5-3,6-3"", ""1-0,2-1,4-1,5-2,5-4,6-0,6-5"", ""0-0,2-0,4-2,5-5,6-1,6-2,6-4"", ""1-1,3-2,3-3,4-0,4-3,5-0,6-6""]"
54,3,1,2,twos,"2-1,3-3,4-2,4-4,5-0,5-2,6-2",5-0,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off,5,12,1,2,1,2,0|2,1,2,2,"[""1-1,2-0,4-1,5-3,5-4,6-1,6-6"", ""1-0,2-2,3-2,4-3,5-5,6-3,6-4"", ""0-0,3-0,3-1,4-0,5-1,6-0,6-5"", ""2-1,3-3,4-2,4-4,5-0,5-2,6-2""]"
60,2,0,0,blanks,"1-0,1-1,2-2,3-0,4-0,4-4,6-3",6-3,3,1,3,3,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off|three_trump_three_double_one_off,6,12,1,3,0,1,3,1,3,1,"[""4-1,4-2,5-1,6-0,6-1,6-4,6-5"", ""0-0,2-0,4-3,5-2,5-4,5-5,6-2"", ""1-0,1-1,2-2,3-0,4-0,4-4,6-3"", ""2-1,3-1,3-2,3-3,5-0,5-3,6-6""]"
62,0,2,2,twos,"2-0,3-0,3-2,4-2,5-5,6-2,6-6",3-0,4,1,2,2,dead_asset_release_control|defender_live_double_weapon|defender_live_same_suit_pair|pair_protector_pressure|straight_one_off,5,12,1,3,1,2,1|3,2,1|3,2,"[""2-0,3-0,3-2,4-2,5-5,6-2,6-6"", ""1-0,4-0,4-3,5-0,6-1,6-3,6-4"", ""0-0,2-1,4-1,5-1,5-2,5-4,6-5"", ""1-1,2-2,3-1,3-3,4-4,5-3,6-0""]"
