surface,decl_name,candidate_rows,unique_seeds,seed_hit_rate,mean_recommendation_score
dead_asset_release_control,blanks,521,310,0.31,9.03263
dead_asset_release_control,fives,534,314,0.314,9.129213
dead_asset_release_control,fours,528,297,0.297,9.151515
dead_asset_release_control,ones,532,299,0.299,8.973684
dead_asset_release_control,sixes,573,327,0.327,9.04363
dead_asset_release_control,threes,549,316,0.316,9.069217
dead_asset_release_control,twos,499,285,0.285,9.1002
defender_live_double_weapon,blanks,378,260,0.26,9.912698
defender_live_double_weapon,fives,382,257,0.257,9.968586
defender_live_double_weapon,fours,398,258,0.258,9.866834
defender_live_double_weapon,ones,394,251,0.251,9.791878
defender_live_double_weapon,sixes,429,280,0.28,9.801865
defender_live_double_weapon,threes,428,270,0.27,9.864486
defender_live_double_weapon,twos,385,246,0.246,9.825974
defender_live_same_suit_pair,blanks,565,332,0.332,9.20354
defender_live_same_suit_pair,fives,577,339,0.339,9.22357
defender_live_same_suit_pair,fours,575,322,0.322,9.212174
defender_live_same_suit_pair,ones,581,326,0.326,9.135972
defender_live_same_suit_pair,sixes,620,357,0.357,9.193548
defender_live_same_suit_pair,threes,619,342,0.342,9.166397
defender_live_same_suit_pair,twos,559,314,0.314,9.171735
pair_protector_pressure,blanks,245,193,0.193,10.473469
pair_protector_pressure,fives,246,186,0.186,10.49187
pair_protector_pressure,fours,240,185,0.185,10.5875
pair_protector_pressure,ones,235,177,0.177,10.523404
pair_protector_pressure,sixes,261,199,0.199,10.505747
pair_protector_pressure,threes,248,191,0.191,10.604839
pair_protector_pressure,twos,222,172,0.172,10.558559
protected_one_off,blanks,69,69,0.069,9.826087
protected_one_off,fives,69,69,0.069,9.536232
protected_one_off,fours,61,61,0.061,9.672131
protected_one_off,ones,65,65,0.065,9.384615
protected_one_off,sixes,68,68,0.068,9.691176
protected_one_off,threes,67,67,0.067,9.597015
protected_one_off,twos,64,64,0.064,9.828125
straight_one_off,blanks,22,22,0.022,10.818182
straight_one_off,fives,27,27,0.027,10.62963
straight_one_off,fours,22,22,0.022,11.136364
straight_one_off,ones,23,23,0.023,10.869565
straight_one_off,sixes,14,14,0.014,10.928571
straight_one_off,threes,26,26,0.026,10.769231
straight_one_off,twos,23,23,0.023,10.913043
three_trump_three_double_one_off,blanks,59,59,0.059,10.338983
three_trump_three_double_one_off,fives,55,55,0.055,10.0
three_trump_three_double_one_off,fours,56,56,0.056,10.107143
three_trump_three_double_one_off,ones,46,46,0.046,10.086957
three_trump_three_double_one_off,sixes,43,43,0.043,9.883721
three_trump_three_double_one_off,threes,59,59,0.059,9.864407
three_trump_three_double_one_off,twos,55,55,0.055,10.109091
two_off_same_suit,blanks,506,250,0.25,8.750988
two_off_same_suit,fives,500,245,0.245,8.92
two_off_same_suit,fours,514,247,0.247,8.88716
two_off_same_suit,ones,522,248,0.248,8.795019
two_off_same_suit,sixes,570,276,0.276,8.840351
two_off_same_suit,threes,546,257,0.257,8.873626
two_off_same_suit,twos,488,236,0.236,8.856557
