game_idx,seed,decl_id,decl_name,bid_value,bid_value_source,decision_idx,trick_idx,trick_position,actor,seat_role,team,partner_player,offense_score_before,defense_score_before,played_count_points_before,unplayed_count_points_public_before,current_trick_count_before,led_suit_before,led_suit_name_before,current_winner_before,current_winner_team_before,partner_currently_winning_before,opponent_currently_winning_before,actual_action_slot,actual_action_domino_id,actual_action_domino,candidate_slot,candidate_domino_id,candidate_domino,candidate_count_points,candidate_is_double,candidate_is_called_suit,candidate_can_follow_led,candidate_beats_current,candidate_would_win_trick_now,candidate_trick_rank,actor_hand_remaining_count,actor_hand_remaining_count_points,actor_hand_remaining_called_suit_count,actor_hand_remaining_double_count,legal_action_count,threshold_q,mean,std,threshold_mass,lower_tail_mass_le_neg18,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,mean_rank_desc,threshold_rank_desc,lower_tail_rank_asc,mean_gap_to_best,threshold_gap_to_best,lower_tail_gap_to_safest,is_actual_action,is_top_mean_action,is_top_threshold_action,is_safest_lower_tail_action,high_variance_close_mean,scalar_ev_lying_by_omission,distribution_shape_tags,strategy_context_tags,matched_position_detectors,direct_label_readiness,missing_direct_label_fields,hidden_threat_available,hidden_threat_rows,top_hidden_impact_holder,top_hidden_impact_domino,top_hidden_impact_score,top_hidden_downside_holder,top_hidden_downside_domino,top_hidden_downside_score,top_hidden_upside_holder,top_hidden_upside_domino,top_hidden_upside_score
0,840700,6,sixes,84,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,27,6-6,0,27,6-6,0,True,True,,,True,,7,10,7,1,7,42.0,41.277244567871094,0.03481651097536087,0.0,0.0,41,41,41,41,41,0,41.0,-0.0,1,41,,256,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,4-1,0.0185089111328125,2,4-1,0.0185089111328125,1,3-2,0.016937255859375
0,840700,6,sixes,84,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,27,6-6,1,26,6-5,0,False,True,,,True,,7,10,7,1,7,42.0,41.269771575927734,0.0360182486474514,0.0,0.0,41,41,41,41,41,0,41.0,-0.0,1,41,,256,3,2,2,0.007472991943359375,0.0,0.0,False,False,False,False,False,False,,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,4-1,0.01880645751953125,2,4-1,0.01880645751953125,1,3-2,0.016872406005859375
0,840700,6,sixes,84,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,27,6-6,2,25,6-4,10,False,True,,,True,,7,10,7,1,7,42.0,41.151893615722656,0.06342799216508865,0.0,0.0,41,41,41,41,41,0,41.0,-0.0,1,41,,256,7,3,3,0.1253509521484375,0.0,0.0,False,False,False,False,True,False,high_variance_close_mean,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,3-2,0.042606353759765625,2,3-2,0.042606353759765625,3,5-0,0.027965545654296875
0,840700,6,sixes,84,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,27,6-6,3,24,6-3,0,False,True,,,True,,7,10,7,1,7,42.0,41.25937271118164,0.03598244488239288,0.0,0.0,41,41,41,41,41,0,41.0,-0.0,1,41,,256,5,4,4,0.017871856689453125,0.0,0.0,False,False,False,False,False,False,,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,3-2,0.019313812255859375,2,3-2,0.019313812255859375,1,3-2,0.016208648681640625
0,840700,6,sixes,84,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,27,6-6,4,23,6-2,0,False,True,,,True,,7,10,7,1,7,42.0,41.265480041503906,0.0365748293697834,0.0,0.0,41,41,41,41,41,0,41.0,-0.0,1,41,,256,4,5,5,0.0117645263671875,0.0,0.0,False,False,False,False,False,False,,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,3-2,0.020565032958984375,2,3-2,0.020565032958984375,1,3-2,0.016925811767578125
0,840700,6,sixes,84,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,27,6-6,5,22,6-1,0,False,True,,,True,,7,10,7,1,7,42.0,41.27153396606445,0.03846478462219238,0.0,0.0,41,41,41,41,41,0,41.0,-0.0,1,41,,256,2,6,6,0.005710601806640625,0.0,0.0,False,False,False,False,True,False,high_variance_close_mean,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,3-2,0.0231475830078125,2,3-2,0.0231475830078125,1,3-2,0.018421173095703125
0,840700,6,sixes,84,schema_v2_bid_value,0,0,0,0,bidder,offense,2,0,0,0,35,0,,,,,False,False,0,27,6-6,6,21,6-0,0,False,True,,,True,,7,10,7,1,7,42.0,41.25923538208008,0.040426287800073624,0.0,0.0,41,41,41,41,41,0,41.0,-0.0,1,41,,256,6,7,7,0.018009185791015625,0.0,0.0,False,False,False,False,True,False,high_variance_close_mean,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,3-2,0.024219512939453125,2,3-2,0.024219512939453125,1,3-2,0.018627166748046875
0,840700,6,sixes,84,schema_v2_bid_value,1,0,1,1,left_setter,defense,3,0,0,0,35,0,7,called,0,offense,False,True,4,16,5-1,0,20,5-5,10,True,False,False,False,False,0,7,15,0,2,7,-41.0,-32.8349723815918,10.622961044311523,0.671875,0.87109375,-42,-42,-37,-26,-16,16,-42.0,4.306572453238081,5,-42|-39|-36|-33|-24,18,256,7,7,7,8.140392303466797,0.0703125,0.24609375,False,False,False,False,False,False,multi_peak_pdf|large_lower_tail|hidden_threat_large_impact,first_setter_response|first_trick|setter_count_pressure,first_setter_pounce_window|setter_count_before_certainty,hidden_threat_offline_label_ready|needs_real_bid_margin,bid_margin,True,8,3,6-5,10.76129138469696,0,6-5,7.560124725103378,3,6-5,10.169263482093811
0,840700,6,sixes,84,schema_v2_bid_value,1,0,1,1,left_setter,defense,3,0,0,0,35,0,7,called,0,offense,False,True,4,16,5-1,1,19,5-4,0,False,False,False,False,False,0,7,15,0,2,7,-41.0,-25.624460220336914,16.322362899780273,0.734375,0.66015625,-42,-41,-31,-13,0,28,-42.0,4.791619899477861,7,-42|-38|-19|-16|-12|2|3,45,256,4,3,4,0.9298801422119141,0.0078125,0.03515625,False,False,False,False,False,False,multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,first_setter_response|first_trick,first_setter_pounce_window,hidden_threat_offline_label_ready|needs_real_bid_margin,bid_margin,True,8,3,6-5,20.436071574687958,0,6-5,13.29778903722763,3,6-5,18.58690318465233
0,840700,6,sixes,84,schema_v2_bid_value,1,0,1,1,left_setter,defense,3,0,0,0,35,0,7,called,0,offense,False,True,4,16,5-1,2,18,5-3,0,False,False,False,False,False,0,7,15,0,2,7,-41.0,-24.825214385986328,16.795427322387695,0.734375,0.62890625,-42,-41,-29,-12,1,29,-42.0,4.858309362831053,5,-42|-38|-19|-12|4,46,256,2,4,2,0.13063430786132812,0.0078125,0.00390625,False,False,False,False,True,False,high_variance_close_mean|multi_peak_pdf|wide_shelf_gap|high_std|large_lower_tail|hidden_threat_large_impact,first_setter_response|first_trick,first_setter_pounce_window,hidden_threat_offline_label_ready|needs_real_bid_margin,bid_margin,True,8,3,6-5,20.860565811395645,0,6-5,13.654444932937622,3,6-5,18.898830249905586
