game_idx,seed,decl_id,decl_name,bid_value,decision_idx,trick_idx,trick_position,actor,seat_role,team,offense_score_before,defense_score_before,actual_action_domino,legal_action_count,top_mean_domino,top_mean,top_threshold_domino,top_threshold_mass,safest_tail_domino,safest_lower_tail_mass,actual_mean_rank_desc,actual_threshold_rank_desc,actual_lower_tail_rank_asc,decision_scalar_ev_lying_by_omission,decision_multi_peak_action_count,decision_max_std,decision_max_shelf_gap,decision_max_hidden_impact,decision_max_hidden_downside,decision_max_hidden_upside,strategy_context_tags,matched_position_detectors,distribution_shape_tags
0,840700,6,sixes,84,0,0,0,0,bidder,offense,0,0,6-6,7,6-6,41.277244567871094,6-6,0.0,6-6,0.0,1,1,1,False,0,0.06342799216508865,0,0.042606353759765625,0.042606353759765625,0.027965545654296875,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,high_variance_close_mean
0,840700,6,sixes,84,1,0,1,1,left_setter,defense,0,0,5-1,7,5-1,-24.694580078125,5-1,0.7421875,5-1,0.625,1,1,1,True,7,16.858924865722656,46,20.974997341632843,14.011993169784546,18.959498316049576,first_setter_response|first_trick|setter_count_pressure,first_setter_pounce_window|setter_count_before_certainty,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,840700,6,sixes,84,2,0,2,2,bidder_partner,offense,0,0,4-0,7,3-2,9.344361305236816,4-3,0.0,3-2,0.07421875,3,4,5,True,7,23.102750778198242,70,24.37227237224579,24.37227237224579,12.057748023420572,first_trick|partner_count_donation|partner_third_seat_support,partner_forcedness_and_safety|partner_third_seat_safe_donation,hidden_threat_large_impact|high_std|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
0,840700,6,sixes,84,3,0,3,3,right_setter,defense,0,0,2-2,7,2-2,-41.77337646484375,3-0,0.0,3-0,1.0,1,2,2,True,0,0.019855359569191933,0,0.010623931884765625,0.010463714599609375,0.010623931884765625,defender_last_to_act_closure|first_trick|last_to_act,last_to_act_closure_policy,high_variance_close_mean|large_lower_tail|scalar_ev_lying_by_omission
0,840700,6,sixes,84,4,1,0,0,bidder,offense,1,0,6-0,6,6-0,41.54835891723633,6-5,0.0,6-5,0.0,1,6,6,True,0,0.03404496982693672,0,0.04033660888671875,0.022563934326171875,0.04033660888671875,called_suit_pressure,first_trick_public_belief_update,high_variance_close_mean|scalar_ev_lying_by_omission
0,840700,6,sixes,84,5,1,1,1,left_setter,defense,1,0,4-4,6,4-4,-41.83252716064453,5-5,0.0,5-5,1.0,1,6,6,True,0,0.04286517947912216,0,0.016948699951171875,0.016948699951171875,0.016414642333984375,setter_count_pressure,first_trick_public_belief_update|setter_count_before_certainty,high_variance_close_mean|large_lower_tail|scalar_ev_lying_by_omission
0,840700,6,sixes,84,6,1,2,2,bidder_partner,offense,1,0,3-2,6,3-2,41.58623504638672,4-3,0.0,4-3,0.0,1,5,5,True,0,0.006958181504160166,0,0.004795074462890625,0.003131866455078125,0.004795074462890625,partner_count_donation,first_trick_public_belief_update|partner_forcedness_and_safety,high_variance_close_mean|scalar_ev_lying_by_omission
0,840700,6,sixes,84,7,1,3,3,right_setter,defense,1,0,3-0,6,3-0,-41.67729949951172,3-0,0.0,3-0,1.0,1,1,1,False,0,0.019773634150624275,0,0.005077362060546875,0.00499725341796875,0.005077362060546875,last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,high_variance_close_mean|large_lower_tail
0,840700,6,sixes,84,8,2,0,0,bidder,offense,7,0,6-4,5,6-4,40.69895935058594,6-5,0.0,6-5,0.0,1,2,2,True,0,0.27088069915771484,0,0.2589111328125,0.2589111328125,0.147064208984375,called_suit_pressure,first_trick_public_belief_update,high_variance_close_mean|scalar_ev_lying_by_omission
0,840700,6,sixes,84,9,2,1,1,left_setter,defense,7,0,5-3,5,5-3,-41.58864212036133,5-5,0.0,5-5,1.0,1,3,3,True,0,0.02599552646279335,0,0.02362823486328125,0.02362823486328125,0.0205230712890625,setter_count_pressure,first_trick_public_belief_update|setter_count_before_certainty,high_variance_close_mean|large_lower_tail|scalar_ev_lying_by_omission
