dynamic_84_label,action_n,decision_n,mean,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,top_mean_rate,top_threshold_rate
84_defender_asset_follow_pressure,30,14,-26.500115839640298,0.636328125,0.69609375,0.16666666666666666,0.2,0.26666666666666666
bidder_final_off_candidate,183,70,14.818094059417808,0.0,0.10220286885245902,0.28415300546448086,0.2677595628415301,0.22404371584699453
bidder_nontrump_final_off_candidate,126,59,11.965686347749498,0.0,0.13154141865079366,0.30952380952380953,0.29365079365079366,0.2698412698412698
bidder_trump_pull_candidate,109,43,29.62881067805334,0.0,0.01587586009174312,0.29357798165137616,0.3211009174311927,0.3944954128440367
dead_asset_release_candidate_proxy,7,5,-27.825025013514928,0.5864955357142857,0.7477678571428571,0.5714285714285714,0.42857142857142855,0.5714285714285714
defender_live_double_weapon_proxy,10,10,-25.747675704956055,0.6828125,0.630078125,0.1,0.1,0.5
defender_live_same_suit_pair_proxy,21,9,-26.402609416416713,0.6625744047619048,0.6832217261904762,0.14285714285714285,0.09523809523809523,0.2857142857142857
is_84_contract_decision,584,168,-1.6310994560792023,0.3433620505136986,0.3521444242294521,0.2876712328767123,0.2876712328767123,0.2876712328767123
laydown_84_proof_fixture,56,14,29.69294664689473,0.0,0.019461495535714284,0.25,0.25,0.25
pair_protector_proxy,4,3,-24.626965045928955,0.5791015625,0.71875,0.25,0.75,0.0
