driver_kind,decl_id,decl_name,seat_role,holder_role,hidden_domino,action_n,mean_score,max_score,mean_q_delta,tail_low_mass_delta,shelf_high_mass_delta,conditioned_mass
downside,6,sixes,left_setter,right_setter,6-4,5,27.5105863571167,37.12533950805664,-22.948897743225096,0.3041124939918518,-0.3041125059127808,0.49888749999999993
downside,4,fours,bidder,bidder_partner,6-4,2,24.76712417602539,29.996856689453125,-19.6639986038208,0.2551562488079071,-0.5103124976158142,0.4896875
downside,3,threes,bidder_partner,bidder,3-3,2,21.511834144592285,21.6441707611084,-16.886834144592285,0.38750000298023224,-0.14999999105930328,0.00625
downside,5,fives,left_setter,bidder_partner,5-5,2263,21.384877313410765,40.685611724853516,-17.23097924979661,0.275993976697994,-0.2787914298638583,0.3638407507943525
downside,6,sixes,left_setter,right_setter,0-0,11,20.988806464455344,33.719078063964844,-16.92677489194003,0.2712905610149557,-0.26982512934641406,0.08162121212121211
downside,5,fives,left_setter,bidder,5-5,1285,20.6746741753144,41.717872619628906,-16.776215890223877,0.25834252875821906,-0.2629916074196536,0.30841223364832343
downside,9,no-trump,bidder,right_setter,6-4,541,19.692896077020333,45.078697204589844,-16.156271306512096,0.25674673376687546,-0.19382614214157268,0.3125174610509643
downside,5,fives,bidder_partner,right_setter,5-5,1588,19.60366590167173,45.98603820800781,-16.184722521142934,0.23901053115170418,-0.20576761466586171,0.3839465550782659
downside,4,fours,left_setter,bidder,6-4,2640,19.246140024246593,60.074668884277344,-15.531089719678416,0.2461742174517426,-0.2505174719668558,0.29892342735389504
downside,4,fours,bidder_partner,left_setter,6-4,2431,18.55005724049556,58.462215423583984,-15.237610332958985,0.22946990303722642,-0.20354021401664388,0.3020838499735558
downside,5,fives,right_setter,bidder,5-5,729,18.321953726730555,35.44414138793945,-15.021916000931352,0.21828553800657008,-0.2234352192367505,0.35128982951205234
downside,4,fours,left_setter,right_setter,6-4,1,17.898130416870117,17.898130416870117,-12.840317726135254,0.3371875286102295,-0.3371874988079071,0.3309375
downside,6,sixes,left_setter,bidder,6-4,1205,17.84952206920786,47.57374572753906,-14.579609551963964,0.2160812712033691,-0.221776167745388,0.3094710827899633
downside,5,fives,right_setter,bidder_partner,5-5,1305,17.773382584162597,53.2123908996582,-14.004331899328706,0.2506494318338475,-0.25247254782094053,0.334795833333333
downside,7,doubles,right_setter,bidder,5-5,2016,17.682776977145483,45.77204895019531,-14.423447100179535,0.2152313592259527,-0.22130045192759662,0.3824321853741495
downside,7,doubles,bidder_partner,right_setter,5-5,2110,17.62662624216758,40.09786605834961,-14.537983978868096,0.20751972697036322,-0.20267143684954678,0.40529910573234185
downside,7,doubles,left_setter,bidder_partner,5-5,1900,17.580578768127843,54.76464080810547,-14.358967729618675,0.21267399183468355,-0.21897411166053068,0.36816726190476246
downside,5,fives,bidder,right_setter,5-5,4517,17.43045476344879,55.38205337524414,-14.265589098606274,0.2347939813975348,-0.16338227010397613,0.3196979242438617
downside,7,doubles,left_setter,bidder,5-5,2571,17.42859244300252,47.995182037353516,-13.84221705273866,0.23797542350600356,-0.24132321411559016,0.31650718059491445
downside,4,fours,right_setter,bidder,6-4,2400,17.4223736401399,53.25029373168945,-14.366749111413956,0.2019024101851149,-0.2073137652266693,0.3851186049107149
downside,7,doubles,bidder,bidder_partner,4-4,3,17.410061677296955,26.97170639038086,-14.180965741475424,0.22216665744781494,-0.20148576299349466,0.3196666666666667
downside,9,no-trump,bidder,right_setter,5-5,3412,17.409496787424523,64.47181701660156,-14.40634478158716,0.2018014987566636,-0.19700074774926538,0.3128458696198301
downside,9,no-trump,bidder,right_setter,6-5,833,17.33875222480884,39.42488479614258,-14.392234774196849,0.19278869157426293,-0.20372576751195046,0.31700773166409385
downside,6,sixes,bidder,right_setter,6-4,1114,17.336355748895684,53.45752716064453,-14.208934493724064,0.2208997237442155,-0.18363791685691438,0.3060242663717189
downside,7,doubles,bidder_partner,left_setter,5-5,2445,17.185686479024362,46.66786193847656,-14.088077778611446,0.21984127312998625,-0.17982732582215866,0.31981780601811133
downside,9,no-trump,left_setter,bidder_partner,5-5,2954,17.152457309479477,51.95462417602539,-13.698290062338094,0.22922253317393385,-0.23238404726984135,0.36414592904697524
downside,4,fours,right_setter,left_setter,6-4,2,17.129520654678345,30.35785675048828,-12.59097957611084,0.32718750834465027,-0.25333333015441895,0.41260416666666666
downside,4,fours,left_setter,bidder_partner,6-4,2389,17.11568247703091,54.012474060058594,-14.046028708453555,0.20347853177184685,-0.20694226040900557,0.3857365909475966
downside,4,fours,bidder_partner,right_setter,6-4,2693,17.11022980948872,46.27631378173828,-14.144541324136693,0.19444042078757207,-0.20424127760682384,0.4048521375965894
downside,7,doubles,right_setter,bidder_partner,5-5,2066,17.102190263966047,46.94407272338867,-13.623755931161842,0.23025422598777548,-0.2350652863209326,0.3267434036901306
downside,2,twos,bidder,right_setter,3-2,206,17.09639026817766,41.61605453491211,-14.091329958832379,0.19889962672099396,-0.20314735824296487,0.32066607431807664
downside,6,sixes,bidder_partner,left_setter,6-4,1496,17.03058901126372,42.90407180786133,-14.05358556486706,0.1937571920329488,-0.20772887880595717,0.31567981880252016
downside,5,fives,bidder,left_setter,5-5,2981,16.991494490931554,34.03117752075195,-13.990652165289735,0.20731444788165665,-0.18553743990165628,0.34330665943834754
downside,8,doubles-suit,left_setter,bidder_partner,6-4,1824,16.950763586647156,58.266056060791016,-13.578301312107788,0.22250306503167994,-0.22947890635604332,0.37027610285479345
downside,4,fours,right_setter,bidder_partner,6-4,2425,16.880465012702746,72.5683364868164,-13.424638381643394,0.22903667326778962,-0.23308087640086708,0.31211283996072786
downside,6,sixes,right_setter,bidder_partner,6-4,1488,16.858600739549885,64.0391616821289,-13.525471623706562,0.2209561716206403,-0.22459512831760892,0.30430032422074943
downside,5,fives,bidder_partner,left_setter,5-5,790,16.809078126617624,49.51738739013672,-13.735047781014744,0.22044362215368707,-0.173897500689837,0.3231567246835441
downside,7,doubles,bidder_partner,bidder,6-4,24,16.79380412896474,29.870386123657227,-14.251502474149069,0.12541835661007403,-0.257291035571446,0.31935069444444436
downside,3,threes,bidder,right_setter,3-2,264,16.58452836943395,58.19111633300781,-13.697782547184914,0.19811393096471985,-0.18106762117685954,0.32576401289682533
downside,7,doubles,left_setter,bidder_partner,6-6,958,16.46024491717273,38.702537536621094,-13.426787014794002,0.20091288730764975,-0.20486580553252662,0.39089712260165
downside,2,twos,right_setter,bidder_partner,3-2,292,16.218783312464414,57.84799575805664,-13.11591649463732,0.20359832848572135,-0.21298485513687235,0.3325728096461185
downside,4,fours,bidder,left_setter,6-4,2483,16.087028987264613,43.406028747558594,-13.266300189317448,0.18418940830699806,-0.19576548514171993,0.3754717603513409
downside,0,blanks,left_setter,right_setter,5-0,7,16.086419922964915,30.32650375366211,-13.393917764936175,0.1473587682204587,-0.24378296307155065,0.39603869047619045
downside,1,ones,left_setter,bidder,4-1,572,16.036198158364197,42.02751159667969,-13.441039972371989,0.17062139618309202,-0.1777283725999556,0.33791495483683015
downside,7,doubles,bidder,left_setter,5-5,2110,15.990820139505287,51.770538330078125,-13.132252918261488,0.19630670794352043,-0.179083216575157,0.3745680715414112
downside,9,no-trump,left_setter,bidder_partner,6-4,616,15.984454067496511,50.14936828613281,-13.132318416973213,0.18646249022536462,-0.1970972098446415,0.3723869868970317
downside,8,doubles-suit,right_setter,bidder,6-4,1598,15.981870060420603,49.1753044128418,-12.759849976240021,0.21284232074918982,-0.21870161105269037,0.39099735718755707
downside,4,fours,left_setter,bidder_partner,4-4,1454,15.980671413335052,44.69160842895508,-13.324123112502747,0.1758726343448963,-0.17956439073119398,0.3643742078502648
downside,9,no-trump,left_setter,bidder,6-4,445,15.960177464431592,57.61784362792969,-12.642537720283766,0.21847121325829014,-0.22623518581470747,0.30922519729802034
downside,6,sixes,right_setter,bidder,6-4,2084,15.951353130579681,45.675636291503906,-13.137883746463826,0.1861470134673759,-0.19032854953941764,0.38068802697422605
downside,8,doubles-suit,bidder,right_setter,6-4,2656,15.850674823285585,39.15069580078125,-13.062670473951892,0.1944859821379034,-0.16857643619908022,0.3122456141530403
downside,4,fours,bidder,right_setter,6-4,3575,15.715889868802957,59.98474884033203,-12.756647129592363,0.22544711689520106,-0.14093884845941582,0.30809138819513937
downside,8,doubles-suit,left_setter,bidder,6-4,1727,15.674387042620449,44.00202178955078,-12.44542139033465,0.21360424530634967,-0.21857572242306986,0.3093222281964322
downside,8,doubles-suit,bidder_partner,left_setter,6-4,1973,15.480603042376325,51.553096771240234,-12.706695235204528,0.1949201283735374,-0.1649104183776296,0.30855067971182387
downside,8,doubles-suit,bidder,left_setter,6-4,946,15.473012986445276,44.045406341552734,-12.620341834255807,0.20829976576731277,-0.15392265158113985,0.41135122822913456
downside,0,blanks,left_setter,bidder,5-0,1341,15.467971275138996,37.304901123046875,-12.712558618327915,0.18182900230122293,-0.18741898848845343,0.3297557903661091
downside,7,doubles,left_setter,bidder,6-6,527,15.441231086086729,43.12025833129883,-12.644927468200336,0.18511373428501934,-0.1889438546020573,0.33242530721966196
downside,9,no-trump,bidder,right_setter,4-4,2282,15.403720499025322,37.0006217956543,-12.6830002212608,0.19102436533402406,-0.16208419742811683,0.31344469789449536
downside,9,no-trump,bidder,right_setter,6-6,3305,15.330645962129383,46.57796096801758,-12.607005812937842,0.19065295965979195,-0.16340959465389004,0.2995340586953395
downside,6,sixes,bidder,bidder_partner,5-5,77,15.2836197320517,44.722530364990234,-12.388175902428564,0.2245129505535225,-0.13006286344841703,0.3359915739022883
downside,6,sixes,bidder,left_setter,6-4,1462,15.24791756928701,56.00156021118164,-12.571105635035707,0.17297777601670383,-0.18939849447247412,0.3855886811119808
downside,2,twos,left_setter,bidder,3-2,395,15.213580305515965,39.67879867553711,-12.489187822462638,0.1773739086108907,-0.19013068461466487,0.34663248191681684
