utility_a,utility_b,n_samples,seed,a_team,bidder,decl_id,bid_value,team_a_pts,team_b_pts,margin,n_decisions_a,n_decisions_b
ev,p_make,10,1350870170,0,1,9,30,18,24,-6,14,14
ev,p_make,10,970263539,0,1,2,30,42,0,42,14,14
ev,p_make,10,2637801669,0,2,9,30,30,12,18,14,14
ev,p_make,10,2257195038,0,2,1,30,29,13,16,14,14
ev,p_make,10,1777249520,0,2,9,30,7,35,-28,14,14
ev,p_make,10,1396642889,0,2,2,30,26,16,10,14,14
ev,p_make,10,1016036258,0,1,5,30,40,2,38,14,14
ev,p_make,10,2683574388,0,1,7,30,6,36,-30,14,14
ev,p_make,10,155484109,0,1,3,30,42,0,42,14,14
ev,p_make,10,1823022239,0,3,3,30,17,25,-8,14,14
ev,p_make,10,1442415608,0,0,3,30,42,0,42,14,14
ev,p_make,10,3109953738,0,1,9,30,40,2,38,14,14
ev,p_make,10,581863459,0,0,7,30,30,12,18,14,14
ev,p_make,10,201256828,0,0,5,30,12,30,-18,14,14
ev,p_make,10,1868794958,0,1,4,30,33,9,24,14,14
ev,p_make,10,1488188327,0,2,9,30,42,0,42,14,14
ev,p_make,10,1008242809,0,0,3,30,1,41,-40,14,14
ev,p_make,10,627636178,0,0,4,30,41,1,40,14,14
ev,p_make,10,2295174308,0,3,5,30,41,1,40,14,14
ev,p_make,10,1914567677,0,3,4,30,29,13,16,14,14
ev,p_make,10,3681444694,0,2,1,30,42,0,42,14,14
ev,p_make,10,1054015528,0,0,5,30,14,28,-14,14,14
ev,p_make,10,673408897,0,1,3,30,35,7,28,14,14
ev,p_make,10,2340947027,0,1,1,30,24,18,6,14,14
ev,p_make,10,1960340396,0,3,0,30,40,2,38,14,14
ev,p_make,10,1480394878,0,2,2,30,33,9,24,14,14
ev,p_make,10,1099788247,0,3,0,30,28,14,14,14,14
ev,p_make,10,719181616,0,0,7,30,22,20,2,14,14
ev,p_make,10,2386719746,0,2,3,30,32,10,22,14,14
ev,p_make,10,4153596763,0,2,0,30,42,0,42,14,14
ev,p_make,10,1526167597,0,1,0,30,17,25,-8,14,14
ev,p_make,10,1145560966,0,2,9,30,42,0,42,14,14
ev,p_make,10,764954335,0,2,1,30,17,25,-8,14,14
ev,p_make,10,285008817,0,1,2,30,39,3,36,14,14
ev,p_make,10,4199369482,0,3,5,30,42,0,42,14,14
ev,p_make,10,1571940316,0,0,3,30,30,12,18,14,14
ev,p_make,10,1191333685,0,2,8,30,29,13,16,14,14
ev,p_make,10,711388167,0,3,0,30,31,11,20,14,14
ev,p_make,10,330781536,0,1,8,30,13,29,-16,14,14
ev,p_make,10,4245142201,0,2,4,30,13,29,-16,14,14
ev,p_make,10,1617713035,0,2,1,30,31,11,20,14,14
ev,p_make,10,3384590052,0,1,9,30,29,13,16,14,14
ev,p_make,10,757160886,0,0,3,30,29,13,16,14,14
ev,p_make,10,376554255,0,3,9,30,17,25,-8,14,14
ev,p_make,10,2044092385,0,0,7,30,18,24,-6,14,14
ev,p_make,10,1663485754,0,0,0,30,24,18,6,14,14
ev,p_make,10,3430362771,0,3,3,30,18,24,-6,14,14
ev,p_make,10,802933605,0,1,1,30,24,18,6,14,14
ev,p_make,10,422326974,0,3,2,30,25,17,8,14,14
ev,p_make,10,2089865104,0,2,4,30,40,2,38,14,14
ev,p_make,10,3856742121,0,1,6,30,35,7,28,14,14
ev,p_make,10,3476135490,0,1,5,30,42,0,42,14,14
ev,p_make,10,848706324,0,0,4,30,34,8,26,14,14
ev,p_make,10,468099693,0,0,0,30,0,42,-42,14,14
ev,p_make,10,4283121471,0,2,3,30,2,40,-38,14,14
ev,p_make,10,3902514840,0,3,0,30,33,9,24,14,14
ev,p_make,10,1275085674,0,3,8,30,22,20,2,14,14
ev,p_make,10,894479043,0,2,1,30,18,24,-6,14,14
ev,p_make,10,2661356060,0,3,2,30,12,30,-18,14,14
ev,p_make,10,33926894,0,0,2,30,17,25,-8,14,14
ev,p_make,10,3948287559,0,1,1,30,12,30,-18,14,14
ev,p_make,10,1320858393,0,2,4,30,42,0,42,14,14
ev,p_make,10,3087735410,0,0,9,30,14,28,-14,14,14
ev,p_make,10,460306244,0,3,1,30,34,8,26,14,14
ev,p_make,10,79699613,0,0,5,30,42,0,42,14,14
ev,p_make,10,3994060278,0,0,0,30,17,25,-8,14,14
ev,p_make,10,3514114760,0,2,0,30,28,14,14,14,14
ev,p_make,10,3133508129,0,1,9,30,12,30,-18,14,14
ev,p_make,10,506078963,0,1,4,30,31,11,20,14,14
ev,p_make,10,125472332,0,2,9,30,30,12,18,14,14
ev,p_make,10,1793010462,0,1,8,30,42,0,42,14,14
ev,p_make,10,3559887479,0,2,1,30,28,14,14,14,14
ev,p_make,10,3179280848,0,1,4,30,25,17,8,14,14
ev,p_make,10,551851682,0,3,5,30,35,7,28,14,14
ev,p_make,10,171245051,0,2,8,30,18,24,-6,14,14
ev,p_make,10,3986266829,0,1,2,30,18,24,-6,14,14
ev,p_make,10,3605660198,0,0,7,30,30,12,18,14,14
ev,p_make,10,3225053567,0,3,6,30,31,11,20,14,14
ev,p_make,10,597624401,0,0,7,30,18,24,-6,14,14
ev,p_make,10,2364501418,0,2,4,30,24,18,6,14,14
ev,p_make,10,4032039548,0,2,7,30,0,42,-42,14,14
ev,p_make,10,3651432917,0,0,9,30,42,0,42,14,14
ev,p_make,10,1024003751,0,2,7,30,24,18,6,14,14
ev,p_make,10,2790880768,0,0,0,30,42,0,42,14,14
