family,claim_count,completion_buckets,next_beads,recommendations
84 bidder/defender,9,"{""active_phase4"": 8, ""review_for_ledger_update"": 1}","{""ledger_reconciliation"": 1, ""t42-br7n.2"": 8}","{""keep_open_under_phase4_2"": 8, ""review_status_move_to_context_limited_or_supported_frequency"": 1}"
bidder sequencing,5,"{""active_phase4"": 5}","{""t42-br7n.1"": 4, ""t42-br7n.4"": 1}","{""keep_open_under_phase4_1"": 4, ""keep_open_under_phase4_4"": 1}"
bidding risk,3,"{""phase3_context_limited"": 2, ""review_for_ledger_update"": 1}","{""ledger_reconciliation"": 1, ""needs_new_bidding_count_exposure_bead"": 2}","{""add_or_assign_bid_bucket_followup"": 1, ""add_or_assign_bid_shape_followup"": 1, ""review_status_move_to_supported_or_context_limited"": 1}"
count exposure,5,"{""complete_static_supported"": 1, ""needs_phase4_or_new_scope"": 3, ""phase3_context_limited"": 1}","{""needs_new_bidding_count_exposure_bead"": 4, ""none"": 1}","{""add_or_assign_count_exposure_followup"": 3, ""add_or_assign_risk_budget_followup"": 1, ""close_as_already_supported"": 1}"
double-count odds,1,"{""complete_static_supported"": 1}","{""none"": 1}","{""close_as_already_supported"": 1}"
doubles/no-trump odds,4,"{""active_phase4"": 3, ""complete_static_supported"": 1}","{""none"": 1, ""t42-br7n.5"": 3}","{""close_as_already_supported"": 1, ""keep_open_under_phase4_5"": 3}"
doubles/no-trump rules,5,"{""complete_static_supported"": 5}","{""none"": 5}","{""close_as_already_supported"": 5}"
four-trump odds,2,"{""complete_static_supported"": 2}","{""none"": 2}","{""close_as_already_supported"": 2}"
four-trump tactics,1,"{""active_phase4"": 1}","{""t42-br7n.1"": 1}","{""keep_open_under_phase4_1"": 1}"
hand odds,2,"{""complete_static_supported"": 2}","{""none"": 2}","{""close_as_already_supported"": 2}"
partner support,7,"{""active_phase4"": 5, ""complete_contradicted"": 1, ""complete_direct_empirical"": 1}","{""none"": 2, ""t42-br7n.1"": 5}","{""close_as_contradicted"": 1, ""close_as_supported_negative_control"": 1, ""keep_open_under_phase4_1"": 5}"
partner-help odds,1,"{""phase3_context_limited"": 1}","{""needs_new_bidding_count_exposure_bead"": 1}","{""add_or_assign_partner_prior_followup"": 1}"
scoring objective,9,"{""active_phase4"": 3, ""complete_static_supported"": 6}","{""none"": 6, ""t42-br7n.3"": 3}","{""close_as_already_supported"": 6, ""keep_open_under_phase4_3"": 3}"
setter defense,7,"{""active_phase4"": 5, ""complete_direct_empirical"": 2}","{""none"": 2, ""t42-br7n.1"": 5}","{""close_as_supported"": 1, ""close_as_supported_negative_control"": 1, ""keep_open_under_phase4_1"": 5}"
stopper ownership,1,"{""complete_static_contradicted"": 1}","{""none"": 1}","{""close_as_contradicted"": 1}"
trump counts,1,"{""complete_static_supported"": 1}","{""none"": 1}","{""close_as_already_supported"": 1}"
void frequencies,1,"{""complete_static_supported"": 1}","{""none"": 1}","{""close_as_already_supported"": 1}"
