base_contrast_id,contrast_id,family,book_question,slice_name,slice_value,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta,preferred_actual_action_rate,alternative_actual_action_rate
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__count_points=0,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",count_points,0,1472,-2.0277261454944577,-2.3063604693895248,-1.7487813347935393,2.0277261454944577,0.004018342590627625,0.05905910304484322,0.44021739130434784,0.43070652173913043
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__count_points=10,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",count_points,10,111,0.8419156396039972,-0.7021877781764881,2.4346806372742393,-0.8419156396039972,0.020810814406554978,0.00693693800686716,0.5855855855855856,0.36936936936936937
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__count_points=5,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",count_points,5,74,-4.245148366770229,-5.621855430909105,-2.7030826388178646,4.245148366770229,-0.004594594240188599,0.10439189066607002,0.33783783783783783,0.5540540540540541
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__current_winner_team=,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",current_winner_team,,1657,-1.9345209591507513,-2.231295760118447,-1.6634961205845031,1.9345209591507513,0.004758600313070314,0.057592033621038416,0.44538322269161135,0.432106216053108
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=blanks,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,blanks,185,-2.556222909044575,-3.4254007716436643,-1.6721884302190833,2.556222909044575,0.0002162164932972676,0.07199999890416055,0.3783783783783784,0.5297297297297298
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=doubles,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,doubles,160,-0.00979380663484335,-0.7502159226685763,0.7203464150428772,0.00979380663484335,0.01921875128755346,0.029406250483589247,0.5875,0.26875
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=doubles-suit,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,doubles-suit,182,1.4591428771778778,0.3872667052015498,2.5620564555565077,-1.4591428771778778,0.008104396190821797,-0.03521977947349404,0.45604395604395603,0.4010989010989011
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=fives,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,fives,180,-1.499750968337887,-2.3015447657762302,-0.70054497923702,1.499750968337887,0.031277778837829825,0.07336111080625819,0.5277777777777778,0.3333333333333333
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=fours,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,fours,191,-2.7779807457093915,-3.4908270608193086,-2.0657875007609667,2.7779807457093915,0.0029319364831085605,0.07337696264200498,0.45549738219895286,0.3769633507853403
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=ones,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,ones,184,-3.4174604913138826,-4.148741056494739,-2.6814291277171476,3.4174604913138826,-0.0074999991035007915,0.0884510882542995,0.3858695652173913,0.5434782608695652
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=sixes,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,sixes,195,-2.8476052514158,-3.5699553653884393,-2.116357965509479,2.8476052514158,-0.005128205075668983,0.06928205238416409,0.4358974358974359,0.4717948717948718
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=threes,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,threes,177,-2.424714548523817,-3.1163337686135946,-1.7342026634404888,2.424714548523817,-0.0025706213693750105,0.06067796543472062,0.4124293785310734,0.4632768361581921
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=twos,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,twos,203,-2.8708239383077974,-3.7309298491830307,-1.9489910081395962,2.8708239383077974,-0.0002955659957868712,0.07916255938026852,0.39408866995073893,0.4729064039408867
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__family_role=bidder,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",family_role,bidder,1657,-1.9345209591507513,-2.2093836689760202,-1.6549122936182807,1.9345209591507513,0.004758600313070314,0.057592033621038416,0.44538322269161135,0.432106216053108
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__phase=early,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",phase,early,1215,-2.182356835258291,-2.496000545434443,-1.88337031673686,2.182356835258291,0.006748971297049228,0.06553909445465102,0.44938271604938274,0.4205761316872428
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__phase=late,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",phase,late,46,-0.597475955505734,-2.3256029945028867,1.3069138526916504,0.597475955505734,-0.01000000093051273,0.04239130473655203,0.5217391304347826,0.4782608695652174
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__phase=middle,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",phase,middle,396,-1.329428738688655,-2.0548581584742425,-0.643903156159201,1.329428738688655,0.00036616322132899904,0.034974747297419895,0.42424242424242425,0.4621212121212121
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__position=lead,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",position,lead,1657,-1.9345209591507513,-2.2153363406164477,-1.6520637228771131,1.9345209591507513,0.004758600313070314,0.057592033621038416,0.44538322269161135,0.432106216053108
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__seat_role=bidder,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",seat_role,bidder,1657,-1.9345209591507513,-2.230936783086881,-1.6421158392804742,1.9345209591507513,0.004758600313070314,0.057592033621038416,0.44538322269161135,0.432106216053108
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=0,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,0,820,-2.224612333424029,-2.55962721563985,-1.874146270182441,2.224612333424029,0.008365853741855883,0.06916463440965588,0.44634146341463415,0.4219512195121951
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=1,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,1,395,-2.094636560585114,-2.6725821290495273,-1.5223831092490803,2.094636560585114,0.003392405209096172,0.0580126570797042,0.45569620253164556,0.4177215189873418
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=2,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,2,196,-1.4768299420687312,-2.431970923663858,-0.4499222774400699,1.4768299420687312,0.0025510215343033174,0.039617347369464685,0.413265306122449,0.45918367346938777
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=3,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,3,116,-1.1610448246115241,-2.5585043899201114,0.16470176546738066,1.1610448246115241,0.006724139539011079,0.03034482683568936,0.43103448275862066,0.45689655172413796
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=4,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,4,84,-1.218022764527372,-2.4921903862130073,0.006560818957430976,1.218022764527372,-0.013511902042886331,0.030535713481228976,0.44047619047619047,0.47619047619047616
