base_contrast_id,contrast_id,family,book_question,slice_name,slice_value,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta,preferred_actual_action_rate,alternative_actual_action_rate
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__count_points=0,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",count_points,0,87,-3.8782124132260507,-4.961943311595369,-2.7764761694546403,3.8782124132260507,-0.009597701973271096,0.09885057543629203,0.3793103448275862,0.5172413793103449
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__current_winner_team=,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",current_winner_team,,91,-3.7338177813933444,-4.891587040254048,-2.6942991473517575,3.7338177813933444,-0.008461538947873062,0.09505494555028585,0.3956043956043956,0.5054945054945055
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=blanks,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,blanks,14,-3.1508377279554094,-5.371330414499555,-0.7680775948933193,3.1508377279554094,5.32184328351702e-10,0.0810714225018663,0.35714285714285715,0.5714285714285714
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=doubles,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,doubles,7,0.7336106300354004,-1.7372256347111292,3.298584086554391,-0.7336106300354004,0.032142856291362217,0.027142858930996487,0.7142857142857143,0.0
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=doubles-suit,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,doubles-suit,7,0.06419401509421212,-2.997697183064052,3.0162926742008755,-0.06419401509421212,2.128737313406808e-09,-0.008571423590183258,0.2857142857142857,0.2857142857142857
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=fives,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,fives,8,-4.859012544155121,-7.818757027387619,-2.1406786143779755,4.859012544155121,-0.009374996647238731,0.14687500521540642,0.375,0.5
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=fours,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,fours,13,-5.340721669105383,-8.176378321189146,-2.545337356053866,5.340721669105383,-0.017307694141681377,0.11384615302085876,0.23076923076923078,0.6923076923076923
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=ones,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,ones,14,-6.704900822469166,-9.584908519472394,-4.14964017697743,6.704900822469166,-0.041785716478313716,0.15107143417532956,0.2857142857142857,0.6428571428571429
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=sixes,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,sixes,6,-1.7515264749526978,-4.750866373380025,0.44381392002105713,1.7515264749526978,0.023333335916201275,0.07250000055258472,0.8333333333333334,0.16666666666666666
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=threes,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,threes,11,-5.290017165920951,-8.214991130612113,-3.1424131122502414,5.290017165920951,-0.03227273340929638,0.1186363681812178,0.2727272727272727,0.7272727272727273
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__decl=twos,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",decl,twos,11,-2.7618982900272715,-5.737949458035556,0.5294311263344504,2.7618982900272715,0.009545456279407848,0.07954544726420533,0.5454545454545454,0.45454545454545453
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__family_role=bidder,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",family_role,bidder,91,-3.7338177813933444,-4.923758799558158,-2.884432484487911,3.7338177813933444,-0.008461538947873062,0.09505494555028585,0.3956043956043956,0.5054945054945055
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__phase=early,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",phase,early,67,-3.9627348607155812,-5.384055664290243,-2.8465509281229617,3.9627348607155812,-0.00462686604083474,0.10380597063687755,0.3880597014925373,0.5074626865671642
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__phase=middle,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",phase,middle,23,-3.243739506472712,-4.9813792601875635,-1.7324085546576458,3.243739506472712,-0.02000000084871831,0.07369565271327029,0.391304347826087,0.5217391304347826
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__position=lead,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",position,lead,91,-3.7338177813933444,-4.909258910915354,-2.590198978617951,3.7338177813933444,-0.008461538947873062,0.09505494555028585,0.3956043956043956,0.5054945054945055
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__seat_role=bidder,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",seat_role,bidder,91,-3.7338177813933444,-4.7020048679231286,-2.667621996376541,3.7338177813933444,-0.008461538947873062,0.09505494555028585,0.3956043956043956,0.5054945054945055
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=0,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,0,46,-3.494927119301713,-5.346890276540881,-2.180559011257213,3.494927119301713,0.007282608067211898,0.10184782559214078,0.41304347826086957,0.5
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=1,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,1,21,-4.987456580003102,-8.099292959485735,-2.911992975643703,4.987456580003102,-0.030714285515603564,0.10809524073487237,0.3333333333333333,0.5238095238095238
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=2,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,2,12,-4.786115676164627,-6.962866226832072,-2.7188126941521964,4.786115676164627,-0.03541666859139999,0.0941666685199986,0.3333333333333333,0.5833333333333334
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=3,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,3,6,-2.4855825901031494,-6.691313982009888,1.5041131178538005,2.4855825901031494,-0.025833333532015484,0.0616666649778684,0.3333333333333333,0.5
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_idx=4,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_idx,4,5,-0.4518249988555908,-3.6116611480712892,2.262534999847412,0.4518249988555908,0.024000000953674317,0.03900000005960465,0.6,0.4
bidder_lead_called_suit_vs_off_suit,bidder_lead_called_suit_vs_off_suit__trick_position=0,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",trick_position,0,91,-3.7338177813933444,-4.788472656692777,-2.7761552117683075,3.7338177813933444,-0.008461538947873062,0.09505494555028585,0.3956043956043956,0.5054945054945055
bidder_lead_called_double_vs_called_non_double,bidder_lead_called_double_vs_called_non_double__count_points=0,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",count_points,0,10,5.327449524402619,2.436953973770142,7.320735847949981,-5.327449524402619,0.08649998903274536,-0.07649999335408211,0.7,0.1
bidder_lead_called_double_vs_called_non_double,bidder_lead_called_double_vs_called_non_double__current_winner_team=,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",current_winner_team,,12,5.00858657558759,3.1890759567419686,7.151755928993225,-5.00858657558759,0.09541666011015575,-0.06374999446173508,0.6666666666666666,0.08333333333333333
bidder_lead_called_double_vs_called_non_double,bidder_lead_called_double_vs_called_non_double__decl=fours,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",decl,fours,3,10.12736145655314,9.0550057888031,11.972032070159912,-10.12736145655314,0.08166666825612386,-0.21833331634600958,0.6666666666666666,0.0
bidder_lead_called_double_vs_called_non_double,bidder_lead_called_double_vs_called_non_double__decl=twos,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",decl,twos,3,2.3263081312179565,-0.24288475513458252,4.830877304077148,-2.3263081312179565,0.059999982515970864,-0.014999995628992716,0.3333333333333333,0.3333333333333333
bidder_lead_called_double_vs_called_non_double,bidder_lead_called_double_vs_called_non_double__family_role=bidder,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",family_role,bidder,12,5.00858657558759,3.0075323283672333,7.280063500006993,-5.00858657558759,0.09541666011015575,-0.06374999446173508,0.6666666666666666,0.08333333333333333
bidder_lead_called_double_vs_called_non_double,bidder_lead_called_double_vs_called_non_double__phase=early,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",phase,early,11,5.123154997825623,3.126007849519903,7.623327190225774,-5.123154997825623,0.09181817553260109,-0.06954544850371101,0.6363636363636364,0.09090909090909091
bidder_lead_called_double_vs_called_non_double,bidder_lead_called_double_vs_called_non_double__position=lead,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",position,lead,12,5.00858657558759,2.829038014014562,6.979413489500682,-5.00858657558759,0.09541666011015575,-0.06374999446173508,0.6666666666666666,0.08333333333333333
