variant,drop_family,dropped_global_count,dropped_action_count,best_epoch,best_mean_regret,best_match_rate,best_near_tie,best_tail_ge_5,delta_vs_full_retrain_mean_regret,delta_vs_full_retrain_match_rate,delta_vs_prior_rich_best_mean_regret,delta_vs_v0_best_mean_regret,delta_vs_raw_final_mean_regret,interpretation
full_rich_retrain,none,0,0,8,1.9695663043430873,0.6553571428571429,0.7553571428571428,0.11428571428571428,0.0,0.0,0.0,-0.03014031818934848,-0.8639852115086148,near zero: weak/noisy marginal signal
rich_disabled_retrain,all_rich_signals,48,48,8,2.0112731661115375,0.6410714285714286,0.7321428571428571,0.13035714285714287,0.041706861768450176,-0.014285714285714235,0.041706861768450176,0.011566543579101696,-0.8222783497401647,near zero: weak/noisy marginal signal
drop_bidding_risk,bidding_risk,3,1,8,1.9777612549918038,0.6535714285714286,0.7553571428571428,0.11785714285714285,0.008194950648716448,-0.0017857142857142794,0.008194950648716448,-0.021945367540632033,-0.8557902608598984,near zero: weak/noisy marginal signal
drop_count_donation,count_donation,12,19,8,1.9889703818729945,0.6428571428571429,0.7482142857142857,0.12142857142857143,0.019404077529907138,-0.012499999999999956,0.019404077529907138,-0.010736240659441343,-0.8445811339787077,near zero: weak/noisy marginal signal
drop_trump_pressure,trump_pressure,7,6,6,1.9824997901916503,0.6553571428571429,0.7446428571428572,0.11785714285714285,0.01293348584856302,0.0,0.01293348584856302,-0.01720683234078546,-0.8510517256600518,near zero: weak/noisy marginal signal
drop_off_protection,off_protection,5,6,8,1.9190008027212961,0.6553571428571429,0.7517857142857143,0.11785714285714285,-0.05056550162179119,0.0,-0.05056550162179119,-0.08070581981113967,-0.914550713130406,near zero: weak/noisy marginal signal
drop_pounce_window,pounce_window,3,5,8,1.9723874228341238,0.6553571428571429,0.7571428571428571,0.11607142857142858,0.0028211184910365006,0.0,0.0028211184910365006,-0.02731919969831198,-0.8611640930175783,near zero: weak/noisy marginal signal
drop_eighty_four_preservation,eighty_four_preservation,2,3,6,2.047118650163923,0.6571428571428571,0.7482142857142857,0.12142857142857143,0.07755234582083559,0.0017857142857142794,0.07755234582083559,0.04741202763148711,-0.7864328656877793,near zero: weak/noisy marginal signal
drop_walker_endgame,walker_endgame,2,4,8,2.0121211460658484,0.65,0.7482142857142857,0.11607142857142858,0.04255484172276103,-0.005357142857142838,0.04255484172276103,0.012414523533412547,-0.8214303697858538,near zero: weak/noisy marginal signal
drop_no_trump_doubles,no_trump_doubles,1,2,6,2.076872648511614,0.6517857142857143,0.7446428571428572,0.12142857142857143,0.10730634416852669,-0.0035714285714285587,0.10730634416852669,0.07716602597917821,-0.7566788673400882,near zero: weak/noisy marginal signal
drop_scoring_pressure,scoring_pressure,4,3,7,2.0225372041974747,0.6517857142857143,0.7410714285714286,0.12678571428571428,0.05297089985438741,-0.0035714285714285587,0.05297089985438741,0.02283058166503893,-0.8110143116542274,near zero: weak/noisy marginal signal
