surface,group,width,mean,min,max,nonzero_fraction
global,declaration,10,0.1,0.0,1.0,0.1
global,phase,3,0.0,0.0,0.0,0.0
global,hand_shape,10,0.357143,0.0,1.0,0.6
global,legal_action_summary,6,0.309524,0.0,1.0,0.5
global,public_count,5,0.314286,0.0,1.0,0.4
global,void_summary,4,0.0,0.0,0.0,0.0
global,visible_pip_coverage,7,0.22449,0.0,0.428571,0.857143
global,current_trick_pressure,9,0.111111,0.0,1.0,0.111111
global,own_pip_coverage,7,0.22449,0.0,0.428571,0.857143
global,unseen_count_by_pip,7,0.244898,0.142857,0.428571,1.0
action,slot,2,1.0,1.0,1.0,1.0
action,identity,8,0.308248,0.0,1.0,0.428571
action,trick_relation,6,0.166667,0.0,1.0,0.166667
action,count_pressure,2,0.0,0.0,0.0,0.0
action,suit_pressure,4,0.329932,0.0,0.833333,0.785714
action,pip_pressure,3,0.312925,0.142857,0.428571,1.0
action,double_protection,3,0.380952,0.0,1.0,0.380952
action,hand_shape,2,0.336735,0.142857,0.428571,1.0
action,donation_window,2,0.0,0.0,0.0,0.0
