base_contrast_id,contrast_id,slice_name,slice_value,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__candidate_beats_current=true,candidate_beats_current,true,359,4.1018437380136525,3.1112536843020724,5.045796112032282,-4.1018437380136525,0.04940111375826315,-0.04582172714972811
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__candidate_would_win_now=true,candidate_would_win_now,true,359,4.1018437380136525,3.1296951850461383,5.161124405650419,-4.1018437380136525,0.04940111375826315,-0.04582172714972811
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__count_points=10,count_points,10,158,3.768495793810963,2.2543390548748223,5.309147254529017,-3.768495793810963,0.03370252975463113,-0.03215189969544358
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__count_points=5,count_points,5,201,4.363878440421737,3.0918755647433436,5.7507540107136785,-4.363878440421737,0.061741294218829616,-0.05656716365608113
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__current_winner_team=offense,current_winner_team,offense,359,4.1018437380136525,3.1156224121518132,5.101671213220114,-4.1018437380136525,0.04940111375826315,-0.04582172714972811
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=blanks,decl,blanks,59,3.0800583170632185,1.4101227403065917,4.981364341856818,-3.0800583170632185,0.04186440473895962,-0.046271187442717916
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=fives,decl,fives,59,4.821846138117677,2.5807618261015013,7.403234304702382,-4.821846138117677,0.038898305872739375,-0.036101694581872325
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=fours,decl,fours,80,3.3616847632743885,1.324428510673024,5.593107197813222,-3.3616847632743885,0.04387500020675361,-0.0408750006579794
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=ones,decl,ones,41,5.484092071535997,2.5706634270482294,9.13168324001485,-5.484092071535997,0.04207317422075969,-0.02743902259574431
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=sixes,decl,sixes,44,4.195794203911316,1.5361678327814758,7.245696119938723,-4.195794203911316,0.04511363414878195,-0.0314772730185227
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=threes,decl,threes,40,5.574089260771871,2.4531478569936005,9.073404535343869,-5.574089260771871,0.09237499833106995,-0.0952499998966232
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__decl=twos,decl,twos,36,2.9163463248146906,-0.21843314932452296,6.237307065601149,-2.9163463248146906,0.05708333104848862,-0.05555555609882706
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__later_seats_remaining=0,later_seats_remaining,0,100,6.490904061049223,4.1277289189547295,9.148167887631804,-6.490904061049223,0.0719499996304512,-0.0670999999716878
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__later_seats_remaining=1,later_seats_remaining,1,37,6.62662889254657,3.1428863066449964,10.301708651439762,-6.62662889254657,0.10662161820643656,-0.09675675484578351
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__later_seats_remaining=2,later_seats_remaining,2,222,2.6048929135934955,1.688237863222018,3.5737259685600935,-2.6048929135934955,0.029707207218618005,-0.0277477482895929
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__seat_role=left_setter,seat_role,left_setter,206,3.0381792018735934,1.74421334943848,4.349776823549444,-3.0381792018735934,0.03580096991533793,-0.03558252403259422
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__seat_role=right_setter,seat_role,right_setter,153,5.533967231117262,4.015692088074428,6.928789057180109,-5.533967231117262,0.06771241854024089,-0.05960784376495414
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__sets_now_label=false,sets_now_label,false,228,2.848687870586761,1.7864949805882613,3.8490855373491186,-2.848687870586761,0.03489035093470624,-0.03436403551236972
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__sets_now_label=true,sets_now_label,true,131,6.282908911855877,4.380796819213042,8.193573057861423,-6.282908911855877,0.07465648722216373,-0.06576335839642823
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__team=defense,team,defense,359,4.1018437380136525,3.1727831002090126,5.130726327386113,-4.1018437380136525,0.04940111375826315,-0.04582172714972811
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=0,trick_idx,0,79,4.272489551252898,2.2783452200975205,6.371777083030923,-4.272489551252898,0.02658227878280833,-0.02360759544646061
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=1,trick_idx,1,79,3.621494197015521,1.6091419944751866,5.7555571739054905,-3.621494197015521,0.032278477768354776,-0.030886075365109535
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=2,trick_idx,2,53,5.035875430084625,2.573226041410048,7.703875573780738,-5.035875430084625,0.05820754929533545,-0.05226415075924037
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=3,trick_idx,3,63,3.9261726614028687,1.6683677688241005,6.450557233345886,-3.9261726614028687,0.0652380958199501,-0.06349206366945827
ch05_pounce_count_vs_other_same_decision,ch05_pounce_count_vs_other_same_decision__trick_idx=4,trick_idx,4,47,2.9764009607618953,0.1281138199777838,6.166653212241114,-2.9764009607618953,0.062340423068467606,-0.06170212903476142
