bucket,n,raw_mean_regret,tagged_mean_regret,delta_mean_regret,raw_match_rate,tagged_match_rate,delta_match_rate,raw_near_tie,tagged_near_tie,delta_near_tie
action:count_pressure,113.0,5.296598552602582,2.865368800880635,-2.431229751721947,0.37168141592920356,0.49557522123893805,0.12389380530973448,0.4424778761061947,0.5752212389380531,0.1327433628318584
action:donation_window,93.0,5.475538807530557,3.0426771102413053,-2.432861697289252,0.3763440860215054,0.5053763440860215,0.12903225806451613,0.45161290322580644,0.5806451612903226,0.12903225806451618
action:double_protection,147.0,4.611312139601934,2.976180770770222,-1.6351313688317122,0.36054421768707484,0.46938775510204084,0.108843537414966,0.4489795918367347,0.5714285714285714,0.1224489795918367
action:hand_shape,381.0,3.585017487132956,2.5064042459322713,-1.0786132412006846,0.45931758530183725,0.5459317585301837,0.08661417322834647,0.5459317585301837,0.6377952755905512,0.09186351706036744
action:identity,381.0,3.585017487132956,2.5064042459322713,-1.0786132412006846,0.45931758530183725,0.5459317585301837,0.08661417322834647,0.5459317585301837,0.6377952755905512,0.09186351706036744
action:pip_pressure,381.0,3.585017487132956,2.5064042459322713,-1.0786132412006846,0.45931758530183725,0.5459317585301837,0.08661417322834647,0.5459317585301837,0.6377952755905512,0.09186351706036744
action:slot,381.0,3.585017487132956,2.5064042459322713,-1.0786132412006846,0.45931758530183725,0.5459317585301837,0.08661417322834647,0.5459317585301837,0.6377952755905512,0.09186351706036744
action:suit_pressure,366.0,3.680736937809512,2.5909128241200263,-1.0898241136894855,0.45081967213114754,0.5355191256830601,0.0846994535519126,0.5355191256830601,0.6311475409836066,0.09562841530054644
action:trick_relation,381.0,3.585017487132956,2.5064042459322713,-1.0786132412006846,0.45931758530183725,0.5459317585301837,0.08661417322834647,0.5459317585301837,0.6377952755905512,0.09186351706036744
global:current_trick_pressure,560.0,2.833551515851702,2.0991070338657924,-0.7344444819859097,0.5660714285714286,0.6375,0.0714285714285714,0.65,0.7160714285714286,0.06607142857142856
global:declaration,560.0,2.833551515851702,2.0991070338657924,-0.7344444819859097,0.5660714285714286,0.6375,0.0714285714285714,0.65,0.7160714285714286,0.06607142857142856
global:hand_shape,560.0,2.833551515851702,2.0991070338657924,-0.7344444819859097,0.5660714285714286,0.6375,0.0714285714285714,0.65,0.7160714285714286,0.06607142857142856
global:legal_action_summary,527.0,2.9562840905089987,2.1054656229616344,-0.8508184675473642,0.5521821631878557,0.6280834914611005,0.0759013282732448,0.6318785578747628,0.7077798861480076,0.0759013282732448
global:own_pip_coverage,560.0,2.833551515851702,2.0991070338657924,-0.7344444819859097,0.5660714285714286,0.6375,0.0714285714285714,0.65,0.7160714285714286,0.06607142857142856
global:phase,540.0,2.700016897696036,2.146379711009838,-0.5536371866861978,0.575925925925926,0.6388888888888888,0.06296296296296289,0.662962962962963,0.7166666666666667,0.0537037037037037
global:public_count,560.0,2.833551515851702,2.0991070338657924,-0.7344444819859097,0.5660714285714286,0.6375,0.0714285714285714,0.65,0.7160714285714286,0.06607142857142856
global:unseen_count_by_pip,444.0,3.265767346631299,2.3274674458546682,-0.9382999007766308,0.509009009009009,0.5833333333333334,0.07432432432432434,0.5968468468468469,0.6711711711711712,0.07432432432432434
global:visible_pip_coverage,560.0,2.833551515851702,2.0991070338657924,-0.7344444819859097,0.5660714285714286,0.6375,0.0714285714285714,0.65,0.7160714285714286,0.06607142857142856
global:void_summary,404.0,2.4277902168802696,2.157341966534605,-0.27044825034566466,0.599009900990099,0.655940594059406,0.05693069306930698,0.6881188118811881,0.7326732673267327,0.044554455445544594
