bucket,n,raw_mean_regret,tagged_mean_regret,delta_mean_regret,raw_match_rate,tagged_match_rate,delta_match_rate,raw_near_tie,tagged_near_tie,delta_near_tie
action:count_pressure,113.0,5.296598552602582,2.908335525377662,-2.38826302722492,0.37168141592920356,0.49557522123893805,0.12389380530973448,0.4424778761061947,0.5663716814159292,0.12389380530973448
action:donation_window,93.0,5.475538807530557,3.1818559708133822,-2.293682836717175,0.3763440860215054,0.4946236559139785,0.11827956989247312,0.45161290322580644,0.5591397849462365,0.10752688172043007
action:double_protection,147.0,4.611312139601934,3.0218724361082323,-1.589439703493702,0.36054421768707484,0.47619047619047616,0.11564625850340132,0.4489795918367347,0.5714285714285714,0.1224489795918367
action:hand_shape,381.0,3.585017487132956,2.439267596547685,-1.1457498905852708,0.45931758530183725,0.5433070866141733,0.08398950131233601,0.5459317585301837,0.6351706036745407,0.08923884514435698
action:identity,381.0,3.585017487132956,2.439267596547685,-1.1457498905852708,0.45931758530183725,0.5433070866141733,0.08398950131233601,0.5459317585301837,0.6351706036745407,0.08923884514435698
action:pip_pressure,381.0,3.585017487132956,2.439267596547685,-1.1457498905852708,0.45931758530183725,0.5433070866141733,0.08398950131233601,0.5459317585301837,0.6351706036745407,0.08923884514435698
action:slot,381.0,3.585017487132956,2.439267596547685,-1.1457498905852708,0.45931758530183725,0.5433070866141733,0.08398950131233601,0.5459317585301837,0.6351706036745407,0.08923884514435698
action:suit_pressure,366.0,3.680736937809512,2.51653300217592,-1.164203935633592,0.45081967213114754,0.5327868852459017,0.08196721311475413,0.5355191256830601,0.6284153005464481,0.09289617486338797
action:trick_relation,381.0,3.585017487132956,2.439267596547685,-1.1457498905852708,0.45931758530183725,0.5433070866141733,0.08398950131233601,0.5459317585301837,0.6351706036745407,0.08923884514435698
global:current_trick_pressure,560.0,2.833551515851702,1.9997066225324358,-0.8338448933192664,0.5660714285714286,0.6392857142857142,0.07321428571428568,0.65,0.7214285714285714,0.0714285714285714
global:declaration,560.0,2.833551515851702,1.9997066225324358,-0.8338448933192664,0.5660714285714286,0.6392857142857142,0.07321428571428568,0.65,0.7214285714285714,0.0714285714285714
global:hand_shape,560.0,2.833551515851702,1.9997066225324358,-0.8338448933192664,0.5660714285714286,0.6392857142857142,0.07321428571428568,0.65,0.7214285714285714,0.0714285714285714
global:legal_action_summary,527.0,2.9562840905089987,1.9996811289488703,-0.9566029615601284,0.5521821631878557,0.6299810246679317,0.07779886148007598,0.6318785578747628,0.713472485768501,0.0815939278937382
global:own_pip_coverage,560.0,2.833551515851702,1.9997066225324358,-0.8338448933192664,0.5660714285714286,0.6392857142857142,0.07321428571428568,0.65,0.7214285714285714,0.0714285714285714
global:phase,540.0,2.700016897696036,2.0474387557418257,-0.6525781419542103,0.575925925925926,0.6388888888888888,0.06296296296296289,0.662962962962963,0.7203703703703703,0.05740740740740735
global:public_count,560.0,2.833551515851702,1.9997066225324358,-0.8338448933192664,0.5660714285714286,0.6392857142857142,0.07321428571428568,0.65,0.7214285714285714,0.0714285714285714
global:unseen_count_by_pip,444.0,3.265767346631299,2.2030823166305953,-1.0626850300007038,0.509009009009009,0.5878378378378378,0.0788288288288288,0.5968468468468469,0.6779279279279279,0.08108108108108103
global:visible_pip_coverage,560.0,2.833551515851702,1.9997066225324358,-0.8338448933192664,0.5660714285714286,0.6392857142857142,0.07321428571428568,0.65,0.7214285714285714,0.0714285714285714
global:void_summary,404.0,2.4277902168802696,2.022477877022016,-0.40531233985825343,0.599009900990099,0.6608910891089109,0.061881188118811936,0.6881188118811881,0.7400990099009901,0.051980198019802026
